Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
CSI,CUSP-Me BOX,Me-12041,Nelson and Marlborough Institute of Technology Cusp-Me,2011-01-31T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12042,Nelson and Marlborough Institute of Technology Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12043,Nelson and Marlborough Institute of Technology Cusp-Me,2011-01-31T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12044,Nelson and Marlborough Institute of Technology Cusp-Me,2011-01-31T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12045,Nelson and Marlborough Institute of Technology Cusp-Me,2011-01-31T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12046,Nelson and Marlborough Institute of Technology Cusp-Me,2011-01-31T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12047,"WestQuay Apartment Building Array, Ahuriri, Napier Cusp-Me",2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12048,"WestQuay Apartment Building Array, Ahuriri, Napier Cusp-Me",2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12050,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12051,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12052,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12053,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12054,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12055,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12056,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12057,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12058,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12059,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12060,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12061,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12062,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12064,"WestQuay Apartment Building Array, Ahuriri, Napier Cusp-Me",2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12066,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12067,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12068,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12069,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12070,Wellington Stout Street Building Array (MBIE) Cusp-Me,2014-06-30T12:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12071,Wellington Stout Street Building Array (MBIE) Cusp-Me,2014-06-30T12:00:02Z,9999-01-01T00:00:00Z
