Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Deployment Role,Installation Date,Removal Date
Nanometrics,Taurus,603,Okepuha Station,Portable,2006-11-16T00:00:01Z,2007-02-01T00:00:00Z
Nanometrics,Taurus,603,MRP Rotokawa 03,Portable,2008-07-02T23:40:01Z,2008-10-10T00:00:00Z
Nanometrics,Taurus,603,White Island 13,Portable,2011-06-12T00:00:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,603,Glenlee Station,Portable,2013-08-21T10:00:01Z,2013-11-21T12:00:00Z
Nanometrics,Taurus,603,Mahinerangi,Portable,2014-03-14T00:00:01Z,2014-09-18T02:00:00Z
Nanometrics,Taurus,603,Airedale,Portable,2014-09-18T02:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,606,St. Oran's College,Portable,2008-10-03T01:45:01Z,2009-02-11T23:30:00Z
Nanometrics,Taurus,606,Tuturau,Portable,2014-03-16T23:00:01Z,2014-09-16T00:00:00Z
Nanometrics,Taurus,606,Ida Valley,Portable,2014-09-16T00:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,607,Okepuha Station,Portable,2006-08-17T05:00:01Z,2006-11-16T00:00:00Z
Nanometrics,Taurus,607,Rugged Mountain,Portable,2007-10-17T23:59:01Z,2007-11-27T23:00:00Z
Nanometrics,Taurus,607,Breaksea Sound,Portable B,2009-07-17T00:00:01Z,2009-09-14T23:00:00Z
Nanometrics,Taurus,607,Mitchells,Portable,2010-09-05T02:30:01Z,2010-09-29T00:00:00Z
Nanometrics,Taurus,607,Rhodes Road,Portable B,2011-02-27T06:11:44Z,2011-10-18T22:22:45Z
Nanometrics,Taurus,607,South Renwick,Portable,2013-07-23T22:42:01Z,2013-11-21T12:00:00Z
Nanometrics,Taurus,608,Lathrope Road,Portable B,2007-03-27T00:00:01Z,2007-05-16T04:00:00Z
Nanometrics,Taurus,608,MRP Rotokawa 08,Portable,2008-10-10T00:00:01Z,2008-10-30T00:00:00Z
Nanometrics,Taurus,608,Skate,Portable,2010-09-05T04:00:01Z,2010-09-29T00:00:00Z
Nanometrics,Taurus,608,Wahianoa,Portable,2011-01-13T22:00:01Z,2011-02-10T00:00:00Z
Nanometrics,Taurus,608,Waihaha,Portable B,2011-08-01T00:00:01Z,2011-09-08T00:00:00Z
Nanometrics,Taurus,608,East Tongariro,Portable,2012-07-20T23:00:01Z,2013-06-07T01:00:00Z
Nanometrics,Taurus,608,Logan Burn,Portable,2014-03-12T23:00:01Z,2014-05-28T02:00:00Z
Nanometrics,Taurus,609,Carnagh Station,Portable A,2006-07-21T23:00:01Z,2006-08-17T05:00:00Z
Nanometrics,Taurus,609,Petone,Portable,2008-10-08T23:30:01Z,2009-02-13T01:30:00Z
Nanometrics,Taurus,609,Last Cove,Portable,2009-07-17T00:00:01Z,2009-09-14T23:00:00Z
Nanometrics,Taurus,609,White Island 14,Portable,2011-06-13T00:00:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,609,Table Hill,Portable,2014-03-11T02:45:01Z,2014-10-14T23:00:00Z
Nanometrics,Taurus,609,Opuha,Portable,2014-10-14T23:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,610,MRP Rotokawa 08,Portable,2008-07-03T00:29:01Z,2008-10-10T00:00:00Z
Nanometrics,Taurus,610,White Island 08,Portable,2011-06-12T22:06:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,610,Clifton,Portable,2014-03-14T22:00:01Z,2014-09-16T00:00:00Z
Nanometrics,Taurus,610,Manorburn,Portable,2014-09-16T00:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,611,Lower Hutt Croft Combined Carriers,Portable,2008-10-07T04:30:01Z,2009-02-11T22:00:00Z
Nanometrics,Taurus,611,White Island 03,Portable,2011-06-13T22:27:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,611,Millers Flat,Portable,2014-03-12T00:20:01Z,2014-10-15T04:00:00Z
Nanometrics,Taurus,611,Kohika,Portable,2014-10-15T04:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,612,Matiu-Somes Island,Portable,2008-10-05T23:40:01Z,2009-02-16T23:00:00Z
Nanometrics,Taurus,612,Makatiti,Portable,2011-08-16T23:13:01Z,2011-09-30T02:00:00Z
Nanometrics,Taurus,612,Matarangi,Portable,2012-06-01T00:00:01Z,2013-06-07T00:00:00Z
Nanometrics,Taurus,612,Hindon,Portable,2014-03-13T21:00:01Z,2014-10-14T00:00:00Z
Nanometrics,Taurus,612,Sherwood Downs,Portable,2014-10-14T00:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,614,Okepuha Station,Portable,2006-07-21T02:00:01Z,2006-08-17T05:00:00Z
Nanometrics,Taurus,614,Dome Shelter,Portable,2008-07-14T22:00:01Z,2008-09-16T03:00:00Z
Nanometrics,Taurus,614,White Island 09,Portable,2011-06-12T22:56:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,614,Patearoa,Portable,2014-09-18T21:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,617,Lake Frazer,Portable,2009-07-17T00:00:01Z,2009-12-11T00:00:00Z
Nanometrics,Taurus,617,Steel,Portable,2010-09-05T01:00:01Z,2010-09-29T00:00:00Z
Nanometrics,Taurus,617,Richmond Hill,Portable,2011-02-26T04:30:42Z,2011-08-25T01:09:12Z
Nanometrics,Taurus,617,Craig's Peak,Portable,2013-07-23T00:00:01Z,2013-11-21T12:00:00Z
Nanometrics,Taurus,618,Paritu Road,Portable,2006-07-23T04:00:01Z,2006-08-17T05:00:00Z
Nanometrics,Taurus,618,Dagg Sound,Portable,2009-07-17T00:00:01Z,2009-09-14T23:00:00Z
Nanometrics,Taurus,618,Marshland,Portable,2011-02-25T23:00:01Z,2011-10-19T02:22:45Z
Nanometrics,Taurus,618,White Bluffs,Portable,2013-07-23T05:20:01Z,2013-11-21T12:00:00Z
Nanometrics,Taurus,620,GNS Rafter,Portable,2008-10-02T23:18:01Z,2009-02-11T22:00:00Z
Nanometrics,Taurus,620,White Island 01,Portable,2011-06-13T00:00:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,620,Tongariro 7,Portable,2012-08-23T00:00:01Z,2013-06-07T01:00:00Z
Nanometrics,Taurus,620,Waimahaka,Portable,2014-03-20T01:10:01Z,2014-09-15T00:00:01Z
Nanometrics,Taurus,620,Morrisons,Portable,2014-09-15T00:00:02Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,621,South of Lake Ronald,Portable,2007-10-18T03:20:01Z,2007-11-27T23:00:00Z
Nanometrics,Taurus,621,Point Howard,Portable,2008-10-01T01:21:01Z,2009-03-16T23:00:00Z
Nanometrics,Taurus,621,White Island 07,Portable,2011-09-22T01:00:01Z,2012-03-06T00:00:00Z
Nanometrics,Taurus,621,Tongariro 1,Portable,2012-07-20T21:40:01Z,2013-06-07T01:00:00Z
Nanometrics,Taurus,621,Conical Hill Otago,Portable,2014-03-16T20:00:01Z,2014-09-15T21:00:00Z
Nanometrics,Taurus,621,Hawkdun,Portable,2014-09-15T21:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,704,Cairn Hill,Portable,2010-09-04T23:23:01Z,2010-09-29T00:00:00Z
Nanometrics,Taurus,704,Mount Hutt,Portable A,2012-09-18T01:49:38Z,2014-04-09T04:00:59Z
Nanometrics,Taurus,731,Waipu Caves,Portable,2008-11-18T04:42:15Z,2009-01-20T21:00:00Z
Nanometrics,Taurus,731,Mount Hutt,Portable B,2012-09-18T22:04:38Z,2014-04-10T02:02:47Z
Nanometrics,Taurus,735,Eyrewell,Portable A,2011-11-23T00:00:01Z,2012-01-18T23:50:25Z
Nanometrics,Taurus,735,Mount Hutt,Portable C,2012-09-18T23:23:38Z,2014-06-12T00:00:00Z
Nanometrics,Taurus,736,Eyrewell,Portable B,2011-11-23T00:00:01Z,2012-01-19T00:10:25Z
Nanometrics,Taurus,736,Rakaia,Portable,2012-01-19T00:10:26Z,2014-03-10T23:30:00Z
Nanometrics,Taurus,736,Taieri,Portable,2014-03-10T23:30:01Z,2014-10-13T03:00:00Z
Nanometrics,Taurus,736,Morven,Portable,2014-10-13T03:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,743,Owenga,Portable B,2007-01-10T00:00:01Z,2007-04-02T00:00:00Z
Nanometrics,Taurus,743,Essendon,Portable,2010-09-05T02:53:01Z,2010-09-30T00:00:00Z
Nanometrics,Taurus,743,Richmond Hill,Portable,2011-08-25T01:19:13Z,2011-10-18T22:22:45Z
Nanometrics,Taurus,1600,Guthrie Street,Portable,2008-11-24T03:07:01Z,2009-02-11T23:00:00Z
Nanometrics,Taurus,1600,Loch Ness,Portable,2010-09-05T22:25:01Z,2010-09-29T00:00:00Z
Nanometrics,Taurus,1600,Duvauchelle,Portable,2011-02-27T23:15:28Z,2011-10-19T00:22:45Z
Nanometrics,Taurus,1614,Newall Road,Portable,2012-10-17T00:00:01Z,2012-12-04T00:00:00Z
Nanometrics,Taurus,1614,Matahi Valley,Portable,2012-12-13T00:00:01Z,2014-05-27T00:00:00Z
Nanometrics,Taurus,1620,Hockey Stadium,Portable,2008-10-31T03:24:01Z,2009-02-12T00:00:00Z
Nanometrics,Taurus,1620,Sandy Knolls,Portable,2010-09-05T06:54:01Z,2010-09-29T00:00:00Z
Nanometrics,Taurus,1630,"GNS Science, Avalon",Portable,2008-10-24T04:37:00Z,2009-02-11T04:00:00Z
Nanometrics,Taurus,1630,Courtenay,Portable,2010-09-05T01:35:01Z,2010-09-29T00:00:00Z
Nanometrics,Taurus,1648,MRP Rotokawa 03,Portable,2008-10-10T00:00:01Z,2009-08-14T00:00:00Z
Nanometrics,Taurus,1648,MRP Rotokawa 06,Portable,2009-08-14T00:00:01Z,2012-10-29T00:00:10Z
Nanometrics,Taurus,1648,MRP Rotokawa 14,Portable,2012-10-29T00:00:21Z,2013-02-14T00:00:00Z
Nanometrics,Taurus,1648,MRP Rotokawa 12,Portable,2013-02-14T00:00:01Z,9999-01-01T00:00:00Z
Nanometrics,Taurus,1655,MRP Rotokawa 05,Portable,2008-10-10T00:00:01Z,2015-03-05T01:00:00Z
Nanometrics,Taurus,1655,MRP Rotokawa 23,Portable,2015-06-24T00:00:01Z,9999-01-01T00:00:00Z
Nanometrics,Taurus,1667,MRP Rotokawa 09,Portable,2008-10-30T00:00:01Z,2012-10-29T00:00:10Z
Nanometrics,Taurus,1667,MRP Rotokawa 16,Portable,2012-10-29T00:00:21Z,2013-03-14T23:00:00Z
