Mark,Domes Number,Mark Type,Type,Ground Relationship,Foundation Type,Foundation Depth,Start Date,End Date,Bedrock,Geology
NRRD,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.516,Stainless Steel Rods,10,2008-03-27T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,Greywacke
NRSW,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.585,Stainless Steel Rods,10,2011-01-18T00:00:00Z,9999-01-01T00:00:00Z,,
NSFT,,Forced Centering,Steel Mast,-3.65,Reinforced Concrete,0,2024-09-23T00:00:00Z,9999-01-01T00:00:00Z,,
NTGT,,Forced Centering,Steel Mast,-2.59,Reinforced Concrete,0,2024-01-15T00:00:00Z,9999-01-01T00:00:00Z,,
OHIN,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.6,Stainless Steel Rods,10,2008-09-03T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,"Sandstone, Siltstone, Mudstone Sequence."
OKOH,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.56,Stainless Steel Rods,10,2009-11-16T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
OPTK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.46,Stainless Steel Rods,10,2009-08-20T00:00:00Z,9999-01-01T00:00:00Z,,
OROA,,Forced Centering,Wyatt/Agnew Drilled-Braced,0,Stainless Steel Rods,10,2010-11-08T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
ORRG,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2024-12-05T00:00:00Z,9999-01-01T00:00:00Z,Tuff,"Lithic tuff, comprising comminuted pre-volcanic materials with basaltic fragments, and unconsolidated ash and lapilli deposits of well-sorted basalt and basanite fragments."
OTAK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2007-03-07T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
OUSD,50212M001,Forced Centering,Steel Mast,-1.5,Stainless Steel Rod,0,1995-01-16T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PAEK,50215M001,Forced Centering,Pillar,-1.315,Reinforced Concrete,2,2002-03-22T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
PAKI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.4,Stainless Steel Rods,10,2010-06-22T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
PALI,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.48,Stainless Steel Rods,2.5,2007-02-12T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
PARI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.54,Stainless Steel Rods,10,2007-02-24T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
PARW,,Forced Centering,Pillar,-1.32,Reinforced Concrete,2,2004-06-10T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
PAWA,,Forced Centering,Pillar,-1.39,Reinforced Concrete,2,2005-01-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PGKH,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.22,Stainless Steel Rods,2.5,2014-05-08T00:00:00Z,9999-01-01T00:00:00Z,,
PGNE,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.12,Stainless Steel Rods,2.5,2014-05-08T00:00:00Z,9999-01-01T00:00:00Z,,
PILK,,Forced Centering,Pillar,-0.4,Reinforced Concrete,2,2000-11-03T00:00:00Z,9999-01-01T00:00:00Z,Schist,
PKNO,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.575,Stainless Steel Rods,10,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PKTP,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.635,Stainless Steel Rods,10,2024-05-03T00:00:00Z,9999-01-01T00:00:00Z,,
PNUI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-06-29T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
PORA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.56,Stainless Steel Rods,10,2006-01-31T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PRTU,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.433,Stainless Steel Rods,10,2009-08-17T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PTOI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-03-21T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PUKE,,Forced Centering,Pillar,-1.55,Reinforced Concrete,2,2004-02-16T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
PYGR,50240M001,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.15,Stainless Steel Rods,2.5,2006-12-04T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
QUAR,,Forced Centering,Pillar,-0.6,Reinforced Concrete,2,2000-02-05T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
RAHI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.55,Stainless Steel Rods,10,2008-05-14T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
RAKW,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.478,Stainless Steel Rods,10,2011-02-16T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
RAUL,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.457,Stainless Steel Rods,2.5,2009-05-16T00:00:00Z,9999-01-01T00:00:00Z,,
RAUM,,Forced Centering,Wyatt/Agnew Drilled-Braced,0,Stainless Steel Rods,10,2011-05-19T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
RAWI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.33,Stainless Steel Rods,10,2009-01-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,On Ridge Line
RCHD,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.54,Stainless Steel Rods,10,2019-08-27T00:00:00Z,9999-01-01T00:00:00Z,Schist,fractured bedrock
RDLV,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2008-12-01T00:00:00Z,9999-01-01T00:00:00Z,,Quaternary Fluvial Gravels Terrace Or Anticline
RGAR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2007-11-07T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,
RGAW,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.56,Stainless Steel Rods,10,2009-03-24T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,Near Broad Ridgeline Next To Stand Of Bushes
RGCR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.61,Stainless Steel Rods,10,2007-02-12T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
RGHD,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.28,Stainless Steel Rods,2.5,2012-02-01T00:00:00Z,9999-01-01T00:00:00Z,,
