Make,Model,Serial,Mark,Height,North,East,Azimuth,Start Date,End Date
Trimble Navigation Ltd.,TRM41249.00,11885765,HOKI,0.055,0,0,0,2003-09-05T22:57:00Z,2011-02-08T19:43:00Z
Trimble Navigation Ltd.,TRM41249.00,11888944,WHNG,0.055,0,0,0,2003-04-02T23:59:00Z,2010-11-22T21:00:00Z
Trimble Navigation Ltd.,TRM41249.00,11889217,TRNG,0.055,0,0,0,2003-02-17T23:59:00Z,2010-12-06T23:24:59Z
Trimble Navigation Ltd.,TRM41249.00,11889428,CORM,0.055,0,0,0,2003-05-09T23:59:00Z,2011-02-10T23:59:59Z
Trimble Navigation Ltd.,TRM41249.00,11889599,NPLY,0.055,0,0,0,2003-03-20T23:59:00Z,2010-11-24T00:45:00Z
Trimble Navigation Ltd.,TRM41249.00,11889680,GISB,0.055,0,0,0,2002-06-28T00:00:00Z,2011-01-19T03:00:00Z
Trimble Navigation Ltd.,TRM41249.00,11889810,DNVK,0.055,0,0,0,2002-10-01T00:00:00Z,2010-12-07T22:07:00Z
Trimble Navigation Ltd.,TRM41249.00,11889815,WANG,0.055,0,0,0,2003-04-17T23:59:00Z,2010-11-04T00:00:00Z
Trimble Navigation Ltd.,TRM41249.00,11909132,HAST,0.055,0,0,0,2002-09-10T22:00:00Z,2010-12-15T19:46:00Z
Trimble Navigation Ltd.,TRM41249.00,12092000,HAMT,0.055,0,0,0,2003-05-01T23:59:00Z,2011-01-24T00:33:00Z
Trimble Navigation Ltd.,TRM41249.00,12200392,MAST,0.055,0,0,0,2003-01-01T00:00:00Z,2010-11-05T01:00:00Z
Trimble Navigation Ltd.,TRM41249.00,12200503,HIKB,0.055,0,0,0,2003-05-16T23:59:00Z,2011-01-13T04:12:00Z
Trimble Navigation Ltd.,TRM41249.00,12200543,TAUP,0.055,0,0,0,2002-03-22T00:00:00Z,2010-12-01T22:27:00Z
Trimble Navigation Ltd.,TRM41249.00,12214598,VGDR,0.055,0,0,0,2004-05-16T00:00:00Z,2004-05-20T00:00:00Z
