Make,Sensor,Datalogger,Serial,Station,Station Cusp3D Start Date,Firmware,Version,Firmware Start Date,Firmware End Date,Notes 
CSI,CUSP3D,CUSP3D,42149,SEAS,2013-11-14T23:17:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42150,OPWS,2013-12-16T21:16:35Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42151,RHSC,2017-08-23T04:48:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42152,HAFS,2014-07-17T01:20:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42153,FJDS,2014-07-16T01:00:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42154,FGPS,2014-07-15T22:20:00Z,Cusp3D+r,,2014-07-15T22:20:00Z,2019-05-23T12:30:00Z,Timing error
CSI,CUSP3D,CUSP3D,42154,,,Cusp3D+r,400.74.1,,9999-01-01T00:00:00Z,Sent to CSI
CSI,CUSP3D,CUSP3D,42155,HWHS,2014-08-06T04:12:00Z,Cusp3D+r,400.63,2014-08-06T04:12:00Z,2019-07-08T01:20:00Z,Timing error
CSI,CUSP3D,CUSP3D,42156,NPCS,2014-08-05T22:12:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42157,NBLC,2017-09-11T02:32:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42158,THHS,2014-08-07T22:37:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42159,PTHS,2014-08-18T23:03:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42161,DCDS,2014-09-09T06:00:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42162,DGNS,2014-09-09T23:59:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42164,TUHS,2014-08-06T03:32:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42165,HMCS,2013-06-12T02:00:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42166,GMFS,2014-08-11T00:05:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42167,ARPS,2014-08-11T04:05:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42168,NSPS,2014-08-27T00:00:10Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42169,IFPS,2014-08-12T00:05:00Z,Cusp3D+r,400.74.1,2019-08-31T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42170,KOKS,2014-08-12T05:05:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42172,NCHS,2014-08-27T00:00:10Z,Cusp3D+r,400.74.1,2019-08-31T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42212,LHBS,2014-08-16T00:00:10Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42213,LHRS,2014-08-14T22:00:10Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42214,LHES,2014-08-14T00:00:10Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42215,TMBS,2014-09-08T23:00:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42217,DKHS,2014-09-08T05:00:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42218,SKFS,2015-03-13T01:00:00Z,Cusp3D+r,400.74.1,2019-09-04T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
