Make,Model,Serial,Station,Location,Azimuth,Method,Dip,Depth,North,East,Scale Factor,Scale Bias,Start Date,End Date
General Electric Industrial Sensing,Druck PTX-1830,10236611,OTAT,40,0,,90,7.96,0,0,1.03,0,2019-09-30T02:20:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10236613,NAPT,40,0,,90,5.969,0,0,1.03,0,2018-04-10T04:40:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10236615,CPIT,40,0,,90,0,0,0,1.03,0,2017-05-10T02:25:21Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10236617,NAPT,41,0,,90,5.969,0,0,1.03,0,2018-04-10T04:40:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10515689,GBIT,41,0,,0,0,0,0,1.03,0,2017-12-12T02:45:00Z,2020-06-05T22:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10515690,CPIT,41,0,,90,0,0,0,1.03,0,2017-05-10T02:25:21Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10837198,LOTT,40,0,,0,0,0,0,1.03,0,2018-03-28T02:20:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10837199,LOTT,41,0,,0,0,0,0,1.03,0,2018-03-28T02:20:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10895481,MNKT,40,0,,0,0,0,0,1.03,0,2018-10-03T23:40:00Z,2021-03-09T08:30:00Z
General Electric Industrial Sensing,Druck PTX-1830,10895482,RBCT,40,0,,0,0,0,0,1.03,0,2018-03-05T03:00:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10895483,RBCT,41,0,,0,0,0,0,1.03,0,2018-03-05T03:00:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10895484,MNKT,41,0,,0,0,0,0,1.03,0,2018-10-03T23:40:00Z,2021-03-09T08:30:00Z
General Electric Industrial Sensing,Druck PTX-1830,10986036,GBIT,40,0,,0,0,0,0,1.03,0,2020-06-07T05:18:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10986037,GBIT,41,0,,0,0,0,0,1.03,0,2020-06-07T05:18:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,10986040,NCPT,41,0,,0,0,0,0,1.03,0,2018-07-19T00:15:00Z,2020-11-17T20:59:00Z
General Electric Industrial Sensing,Druck PTX-1830,10986041,NCPT,40,0,,0,0,0,0,1.03,0,2018-07-19T00:15:00Z,2020-11-17T20:59:00Z
General Electric Industrial Sensing,Druck PTX-1830,10986042,OTAT,41,0,,90,7.96,0,0,1.03,0,2019-09-30T02:20:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,11110767,PUYT,40,0,,0,0,0,0,1.03,0,2019-02-20T06:20:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,11450766,TAUT,40,0,,90,0,0,0,1.03,0,2020-05-22T05:45:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,11450768,TAUT,41,0,,90,0,0,0,1.03,0,2020-05-22T05:45:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,11777121,NCPT,40,0,,0,0,0,0,1.03,0,2020-11-19T00:40:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,11777122,NCPT,41,0,,0,0,0,0,1.03,0,2020-11-19T00:40:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,11847701,MNKT,41,0,,0,0,0,0,1.03,0,2021-04-22T21:24:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,11847702,MNKT,40,0,,0,0,0,0,1.03,0,2021-04-22T21:24:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,2504328,WLGT,40,0,,90,0,0,0,1.03,0,2007-03-06T00:00:02Z,2012-05-29T22:55:00Z
General Electric Industrial Sensing,Druck PTX-1830,2574749,NAPT,40,0,,90,2,0,0,1.03,0,2007-09-12T00:00:00Z,2010-12-14T23:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,2574760,GIST,40,0,,90,0,0,0,1.03,0,2008-02-12T04:00:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,2574764,NAPT,41,0,,90,2,0,0,1.03,0,2007-09-12T00:00:00Z,2010-12-14T23:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,2645534,CHIT,40,0,,90,5.46,0,0,1.03,0,2007-12-15T12:00:00Z,2008-11-25T21:08:00Z
General Electric Industrial Sensing,Druck PTX-1830,2645535,CHIT,41,0,,90,5.46,0,0,1.03,0,2007-12-15T12:00:00Z,2010-02-16T00:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,2648990,CPIT,40,0,,90,0,0,0,1.03,0,2009-09-16T03:00:00Z,2012-03-25T22:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,2648993,LOTT,41,0,,0,0,0,0,1.03,0,2008-10-03T06:00:00Z,2018-03-28T02:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,2648994,LOTT,40,0,,0,0,0,0,1.03,0,2008-10-03T06:00:00Z,2018-03-28T02:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,2681503,CPIT,41,0,,90,0,0,0,1.03,0,2009-09-16T03:00:00Z,2017-05-10T02:25:00Z
General Electric Industrial Sensing,Druck PTX-1830,2681518,TAUT,41,0,,90,0,0,0,1.03,0,2008-05-21T02:00:02Z,2010-02-03T23:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,2683728,TAUT,40,0,,90,0,0,0,1.03,0,2008-05-21T02:00:02Z,2010-02-03T23:00:00Z
General Electric Industrial Sensing,Druck PTX-1830,2686075,GIST,41,0,,90,0,0,0,1.03,0,2008-02-12T04:00:00Z,9999-01-01T00:00:00Z
