Mark,Operator,Agency,Model,Satellite System,Interval,Elevation Mask,Header Comment,Format,Start Date,End Date
TAUP,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2015-08-19T17:25:01Z,2016-07-04T01:10:29Z
TAUP,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-07-04T01:10:30Z,9999-01-01T00:00:00Z
TAUW,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2009-08-19T03:40:30Z,2011-03-27T21:25:00Z
TAUW,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-03-27T21:28:45Z,2016-04-27T21:29:58Z
TAUW,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-04-27T21:29:59Z,9999-01-01T00:00:00Z
TEMA,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2007-03-17T21:00:00Z,2017-09-28T00:27:30Z
TEMA,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-09-28T00:27:32Z,9999-01-01T00:00:00Z
TEN2,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-11-17T23:45:56Z,2018-05-21T03:00:00Z
TENN,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-11-14T22:08:22Z,9999-01-01T00:00:00Z
TGHO,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2008-12-22T02:30:00Z,2016-08-17T00:22:37Z
TGHO,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-08-17T00:22:38Z,9999-01-01T00:00:00Z
TGHR,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-05-08T21:26:26Z,2018-05-15T00:04:30Z
TGHR,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2018-05-15T00:04:31Z,9999-01-01T00:00:00Z
TGOH,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-05-22T03:35:49Z,2016-10-19T00:49:36Z
TGOH,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-10-19T00:49:38Z,9999-01-01T00:00:00Z
TGRA,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-04-11T00:00:00Z,2018-05-23T23:12:57Z
TGRA,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2018-05-23T23:12:58Z,9999-01-01T00:00:00Z
TGRI,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-04-04T02:20:00Z,2016-04-21T22:05:06Z
TGRI,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-04-21T22:05:07Z,9999-01-01T00:00:00Z
TGTK,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-04-27T01:00:00Z,2018-06-26T23:56:37Z
TGTK,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2018-06-26T23:56:38Z,9999-01-01T00:00:00Z
TGWH,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2007-02-06T22:30:00Z,2016-10-12T03:04:18Z
TGWH,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-10-12T03:04:20Z,9999-01-01T00:00:00Z
THAP,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2008-06-13T01:05:00Z,2017-10-02T01:51:06Z
THAP,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-10-02T01:51:08Z,9999-01-01T00:00:00Z
TINT,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-04-05T05:00:00Z,2016-09-01T01:48:27Z
TINT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-09-01T01:48:28Z,9999-01-01T00:00:00Z
TKAR,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2010-06-03T04:59:30Z,2014-07-23T23:39:00Z
TKAR,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2014-07-23T23:47:38Z,9999-01-01T00:00:00Z
TKHL,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2014-06-18T00:00:20Z,2016-09-12T00:06:00Z
TKHL,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,geonet,trimble_netr9 x4,2016-09-12T00:06:01Z,9999-01-01T00:00:00Z
TORY,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2005-04-20T05:00:00Z,2017-07-17T23:51:58Z
TORY,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-07-17T23:51:59Z,9999-01-01T00:00:00Z
TRAV,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2005-06-23T00:00:00Z,2018-06-22T00:52:37Z
TRAV,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2018-06-22T00:52:38Z,9999-01-01T00:00:00Z
TRNG,GeoNet,GNS,TRIMBLE 5700,GPS,30s,4,linz,trimble_5700 x5,2003-02-17T23:59:00Z,2004-05-26T19:00:00Z
TRNG,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,linz,trimble_5700 x4,2004-05-27T00:00:00Z,2010-12-06T23:24:59Z
TRNG,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2010-12-07T01:34:00Z,2015-08-18T15:25:00Z
TRNG,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2015-08-18T15:25:01Z,2016-06-29T22:32:00Z
TRNG,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-06-29T22:32:01Z,2019-10-21T00:48:15Z
TRNG,GeoNet,GNS,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2019-10-21T00:48:16Z,9999-01-01T00:00:00Z
TRWH,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2010-12-02T02:33:27Z,2014-10-01T21:30:00Z
TRWH,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2014-10-01T21:31:00Z,9999-01-01T00:00:00Z
TURI,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-08-31T23:28:06Z,2015-11-16T19:56:00Z
TURI,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-11-16T19:56:01Z,9999-01-01T00:00:00Z
UTK1,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2008-07-21T23:00:00Z,2016-08-18T13:00:00Z
UTK2,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2008-07-22T02:00:00Z,2016-08-29T01:00:00Z
UTK3,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2008-07-18T00:10:00Z,2016-04-04T08:00:00Z
UTK4,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2008-07-17T00:10:00Z,2013-05-23T04:29:00Z
UTK4,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,3,geonet,trimble_5700 x4,2013-05-23T04:30:00Z,2016-08-30T20:00:00Z
UTKU,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2008-11-12T03:00:03Z,2011-04-20T02:00:00Z
UTKU,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-04-20T03:40:40Z,2016-04-05T01:30:25Z
UTKU,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-04-05T01:30:26Z,2016-08-30T21:00:00Z
V27B,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,3,geonet,trimble_5700 x4,2011-04-09T00:00:01Z,2012-12-01T00:00:00Z
V47B,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-04-08T22:24:21Z,2015-11-16T20:15:00Z
