Station,Location,Band,Source,Sampling Rate,Axial,Reversed,Triggered,Start Date,End Date
AWRB,24,H,N,200,false,false,true,2016-12-07T12:00:00Z,2018-08-15T00:00:00Z
AWRB,25,B,N,50,false,false,false,2016-12-07T12:00:00Z,2018-08-15T00:00:00Z
AWRB,25,H,N,200,false,false,true,2016-12-07T12:00:00Z,2018-08-15T00:00:00Z
AXZ,10,S,H,50,false,false,true,1996-03-07T02:15:00Z,2004-08-30T20:34:00Z
BB0,10,H,H,100,false,false,false,2003-11-12T00:00:00Z,2004-01-21T00:00:00Z
BB1,10,H,H,100,false,false,false,2003-11-13T00:00:01Z,2004-01-22T00:00:00Z
BB2,10,H,H,100,false,false,false,2003-11-17T00:00:00Z,2004-01-22T00:00:00Z
BB4,10,H,H,100,false,false,false,2003-11-14T00:00:00Z,2004-01-21T00:00:00Z
BBCX,10,E,H,100,false,false,false,2015-03-24T00:10:00Z,2016-03-09T21:00:05Z
BBCX,20,B,N,50,false,false,false,2015-03-31T00:00:00Z,2016-03-09T21:00:05Z
BBCX,20,H,N,200,false,false,true,2015-03-31T00:00:00Z,2016-03-09T21:00:05Z
BBE,10,S,H,50,false,false,true,1991-01-30T22:08:00Z,1991-02-04T22:02:00Z
BBNN,10,S,H,50,false,false,true,1994-04-15T09:01:00Z,1994-05-16T15:38:00Z
BCE,10,S,H,50,false,false,true,1989-06-05T07:12:00Z,1989-06-19T17:30:00Z
BCKZ,30,L,D,1,false,false,false,2009-05-18T01:00:00Z,9999-01-01T00:00:00Z
BCKZ,30,H,D,100,false,false,false,2009-05-18T01:00:00Z,9999-01-01T00:00:00Z
BCOF,10,E,H,100,false,false,false,2007-10-17T22:20:02Z,2007-11-27T22:00:00Z
BCOF,20,H,N,200,true,false,true,2007-10-17T22:20:01Z,2007-11-27T23:00:00Z
BCZ,10,S,H,50,false,false,true,1990-05-28T11:33:00Z,1993-07-16T15:59:00Z
BDAF,10,S,H,50,false,false,true,1993-08-15T01:00:00Z,1993-08-17T07:03:00Z
BDCS,20,B,N,50,true,false,false,2014-09-10T12:00:00Z,2020-06-16T00:00:00Z
BDCS,20,H,N,200,true,false,true,2002-06-10T00:00:00Z,2023-03-23T23:08:00Z
BDCS,20,H,N,200,true,false,false,2023-03-24T03:10:00Z,9999-01-01T00:00:00Z
BDPF,10,S,H,50,false,false,true,1993-03-19T23:49:00Z,1993-06-25T07:28:00Z
BEAA,10,S,H,50,false,false,true,1994-06-19T06:48:00Z,1994-06-20T21:26:00Z
BENS,20,H,N,200,true,false,true,2001-07-31T02:00:00Z,2015-06-30T23:59:59Z
BFZ,10,V,H,0.1,false,true,false,2003-07-30T05:00:00Z,2008-11-09T22:13:00Z
BFZ,10,V,H,0.1,false,false,false,2008-11-09T22:13:01Z,2021-01-28T08:00:00Z
BFZ,10,L,H,1,false,true,false,2003-07-30T05:00:00Z,2008-11-09T22:13:00Z
BFZ,10,L,H,1,false,false,false,2008-11-09T22:13:01Z,9999-01-01T00:00:00Z
BFZ,10,S,H,50,false,false,true,1996-04-03T16:10:00Z,2003-06-12T13:03:00Z
BFZ,10,H,H,100,false,true,false,2003-07-30T05:00:00Z,2008-11-09T22:13:00Z
BFZ,10,H,H,100,false,false,false,2008-11-09T22:13:01Z,9999-01-01T00:00:00Z
BFZ,20,B,N,50,false,false,false,2008-11-09T22:13:01Z,2020-06-16T00:00:00Z
BFZ,20,H,N,200,false,false,true,2003-07-30T05:00:00Z,9999-01-01T00:00:00Z
BGLC,10,S,H,50,false,false,true,2001-01-18T06:17:00Z,2001-07-04T07:12:00Z
BHHZ,10,E,H,100,false,false,false,2008-06-12T00:00:01Z,2019-01-09T00:00:00Z
