Make,Model,Serial,Version,Start Date,End Date,Notes
Canterbury Seismic Instruments,CUSP3D,42019,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-06-10T20:29:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42019,Cusp3D+r 400.74.1 (GPS18X4.40),2021-06-10T20:30:00Z,2023-12-11T20:32:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42020,Cusp3D+r 400.74.1,2019-08-30T00:00:00Z,2021-06-02T01:39:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42020,Cusp3D+r 400.74.1 (GPS18X4.40),2021-06-02T01:40:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42021,Cusp3D+r 400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42022,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-03-23T00:29:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42022,Cusp3D+r 400.74.1 (GPS18X4.40),2021-03-23T00:30:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42023,Cusp3D+r 400.74.1,2019-08-30T00:00:00Z,2023-08-30T21:44:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42024,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-03-17T22:29:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42024,Cusp3D+r 400.74.1 (GPS18X4.40),2021-03-17T22:30:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42025,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2023-11-13T19:45:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42026,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42027,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2023-10-19T19:50:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42028,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-04-27T22:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42028,Cusp3D+r 400.74.1 (GPS18X4.40),2021-04-27T23:00:00Z,2024-02-28T21:03:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42029,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42031,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-02-24T21:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42031,Cusp3D+r 400.74.1 (GPS18X4.40),2021-02-24T22:00:00Z,2024-02-29T00:45:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42032,Cusp3D+r 400.74.1,2019-08-30T00:00:00Z,2021-05-18T23:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42032,Cusp3D+r 400.74.1 (GPS18X4.40),2021-05-19T00:00:00Z,2021-06-01T10:58:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42033,Cusp3D+r 400.74.1,2019-08-30T00:00:00Z,2025-04-09T23:13:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42034,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-12-11T22:26:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42035,Cusp3D+r 400.74.1,2019-08-30T00:00:00Z,2023-10-18T23:51:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42036,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-06-27T23:29:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42036,Cusp3D+r 400.74.1 (GPS18X4.40),2021-06-27T23:30:00Z,2024-04-28T22:48:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42037,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2023-11-27T21:06:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42038,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-07-14T22:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42038,Cusp3D+r 400.74.1 (GPS18X4.40),2021-07-14T23:00:00Z,2024-04-17T22:57:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42039,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42040,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-08-05T22:03:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42040,Cusp3D+r 400.74.1 (GPS18X4.40),2021-08-05T22:04:00Z,2023-06-20T20:53:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42041,Cusp3D+r 400.74.1,2019-09-04T00:00:00Z,2021-06-09T19:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42041,Cusp3D+r 400.74.1 (GPS18X4.40),2021-06-09T20:00:00Z,2023-12-11T02:08:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42042,Cusp3D+r 400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42043,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42044,Cusp3D+r 400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42046,Cusp3D+r 400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42047,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42048,Cusp3D+r 400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42049,Cusp3D+r 400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42050,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42051,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42052,Cusp3D+r 400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42053,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42054,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42056,Cusp3D+r 400.74.1,2019-08-17T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42059,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42060,Cusp3D+r 400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42063,Cusp3D+r 400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42065,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42068,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42069,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42079,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2022-08-18T22:29:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42079,Cusp3D+r 400.74.1 (GPS18X4.40),2022-08-18T22:30:00Z,2025-02-25T22:47:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42102,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-03-17T22:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42102,Cusp3D+r 400.74.1 (GPS18X4.40),2021-03-17T23:00:00Z,2025-02-26T00:08:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42103,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-05-30T23:14:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42103,Cusp3D+r 400.74.1 (GPS18X4.40),2021-05-30T23:15:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42104,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42105,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-08-04T21:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42105,Cusp3D+r 400.74.1 (GPS18X4.40),2021-08-04T22:00:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42106,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2025-02-27T22:52:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42107,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-06-01T23:29:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42107,Cusp3D+r 400.74.1 (GPS18X4.40),2021-06-01T23:30:00Z,2023-10-13T05:30:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42108,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2025-03-04T00:36:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42109,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42114,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2020-12-17T00:10:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42116,unknown,2013-10-23T22:20:00Z,2019-03-05T20:30:00Z,Timing error
Canterbury Seismic Instruments,CUSP3D,42123,Cusp3D+r 400.74.1,2019-08-15T00:00:00Z,2021-03-19T00:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42123,Cusp3D+r 400.74.1 (GPS18X4.40),2021-03-19T01:00:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42124,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42147,Cusp3D+r 400.74.1,2019-08-30T00:00:00Z,2025-02-12T00:02:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42148,Cusp3D+r 400.74.1,2019-08-30T00:00:00Z,2025-02-13T20:15:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42149,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-03-22T22:09:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42149,Cusp3D+r 400.74.1 (GPS18X4.40),2021-03-22T22:10:00Z,2025-03-28T00:01:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42150,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2025-02-10T19:39:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42151,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2025-09-22T20:45:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42152,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-08-02T23:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42152,Cusp3D+r 400.74.1 (GPS18X4.40),2021-08-03T00:00:00Z,2022-04-15T09:23:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42153,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-08-02T21:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42153,Cusp3D+r 400.74.1 (GPS18X4.40),2021-08-02T22:00:00Z,2025-09-30T00:53:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42154,unknown,2014-07-15T22:20:00Z,2019-05-23T12:30:00Z,Timing error Sent to Canterbury Seismic Instruments
Canterbury Seismic Instruments,CUSP3D,42154,Cusp3D+r 400.74.1,2019-05-23T12:30:01Z,2021-03-10T23:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42154,Cusp3D+r 400.74.1 (GPS18X4.40),2021-03-11T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42155,Cusp3D+r 400.63,2014-08-06T04:12:00Z,2019-07-08T01:20:00Z,Timing error
Canterbury Seismic Instruments,CUSP3D,42156,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-07-14T21:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42156,Cusp3D+r 400.74.1 (GPS18X4.40),2021-07-14T22:00:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42157,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2024-04-05T18:16:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42158,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-07-26T00:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42158,Cusp3D+r 400.74.1 (GPS18X4.40),2021-07-26T01:00:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42159,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42161,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-05-24T23:29:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42161,Cusp3D+r 400.74.1 (GPS18X4.40),2021-05-24T23:30:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42162,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-05-25T02:29:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42162,Cusp3D+r 400.74.1 (GPS18X4.40),2021-05-25T02:30:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42164,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-03-30T23:44:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42164,Cusp3D+r 400.74.1 (GPS18X4.40),2021-03-30T23:45:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42165,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-08-05T02:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42165,Cusp3D+r 400.74.1 (GPS18X4.40),2021-08-05T03:00:00Z,2025-08-11T22:52:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42166,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-01-15T01:48:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42167,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-10-07T18:29:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42167,Cusp3D+r 400.74.1 (GPS18X4.40),2021-10-07T18:30:00Z,2025-09-09T20:54:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42168,Cusp3D+r 400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42169,Cusp3D+r 400.74.1,2019-08-31T00:00:00Z,2021-04-15T01:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42169,Cusp3D+r 400.74.1 (GPS18X4.40),2021-04-15T02:00:00Z,2025-09-08T23:42:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42170,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-08-05T01:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42170,Cusp3D+r 400.74.1 (GPS18X4.40),2021-08-05T02:00:00Z,2025-03-17T21:06:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42172,Cusp3D+r 400.74.1,2019-08-31T00:00:00Z,2023-03-03T01:54:00Z,Fix GPS timing 1 sec
