Make,Model,Serial,Place,Role,Start Date,End Date
GNS Science,EARSS/3,103,Lake Mary,Short Period,2001-12-09T07:51:00Z,2001-12-27T02:46:00Z
GNS Science,EARSS/3,103,Browning Range,Short Period,2005-05-03T23:25:00Z,2005-05-17T15:18:00Z
GNS Science,EARSS/3,104,Te Anau Downs,Short Period,1988-06-06T10:09:00Z,1988-06-06T23:23:00Z
GNS Science,EARSS/3,104,Puketiti,Short Period,1989-03-08T11:22:00Z,1989-04-14T09:36:00Z
GNS Science,EARSS/3,104,Mangatuna,Short Period,1989-04-17T07:59:00Z,1989-07-02T19:03:00Z
GNS Science,EARSS/3,104,Tora,Short Period,1990-10-05T10:47:00Z,1990-10-08T20:12:00Z
GNS Science,EARSS/3,104,Middle Arm,Short Period,1993-03-19T06:55:00Z,1993-06-23T03:58:00Z
GNS Science,EARSS/3,104,Redwood Motel,Short Period,1993-08-12T06:14:00Z,1993-08-14T22:13:00Z
GNS Science,EARSS/3,104,Middle Arm,Short Period,1993-08-15T02:26:00Z,1993-08-19T11:06:00Z
GNS Science,EARSS/3,104,Jollies Pass,Short Period,1993-10-22T10:34:00Z,1993-11-23T01:31:00Z
GNS Science,EARSS/3,104,White Rock,Short Period,1993-12-03T07:15:00Z,1994-03-06T14:25:00Z
GNS Science,EARSS/3,104,Marau Point,Short Period,1994-07-27T02:26:00Z,1994-12-12T23:16:00Z
GNS Science,EARSS/3,104,Torepatutahi,Short Period,1995-01-10T16:30:00Z,1995-01-20T19:28:00Z
GNS Science,EARSS/3,104,Earle Road Rocks,Short Period,1995-01-26T20:32:00Z,1995-06-08T17:54:00Z
GNS Science,EARSS/3,104,Middle Road,Short Period,1995-09-26T07:39:00Z,1996-01-08T22:28:00Z
GNS Science,EARSS/3,104,Te Apiti,Short Period,2001-01-09T11:09:00Z,2001-06-24T14:11:00Z
GNS Science,EARSS/3,105,Angora Road,Short Period,1990-02-20T22:33:00Z,1990-05-17T20:53:00Z
GNS Science,EARSS/3,105,Wairakei C,Short Period,1990-08-10T18:28:00Z,1990-08-22T20:55:00Z
GNS Science,EARSS/3,105,Fabian's Valley,Short Period,1993-10-18T22:25:00Z,1994-03-11T20:54:00Z
GNS Science,EARSS/3,105,Wellington Dominion Observatory,Broadband,1994-11-25T10:56:00Z,1995-06-22T18:31:00Z
GNS Science,EARSS/3,105,Blackball,Short Period,1995-11-11T00:00:00Z,1996-04-22T00:00:00Z
GNS Science,EARSS/3,105,Mount Cook,Short Period,1997-09-19T21:37:00Z,1997-10-10T14:54:00Z
GNS Science,EARSS/3,105,Rahui,Short Period,2001-01-14T16:55:00Z,2001-06-23T16:35:00Z
GNS Science,EARSS/3,105,Acheron,Short Period,2001-08-01T01:00:00Z,2001-08-30T09:00:00Z
GNS Science,EARSS/3,105,Musical Creek,Short Period,2001-12-11T01:02:00Z,2001-12-27T00:52:00Z
GNS Science,EARSS/3,105,Colonial Head,Short Period,2003-08-24T01:47:00Z,2003-09-15T15:11:00Z
GNS Science,EARSS/3,105,Charles Sound 2,Short Period,2003-09-25T01:21:00Z,2004-04-28T06:04:00Z
GNS Science,EARSS/3,106,Oreore,Short Period,1990-05-15T03:55:00Z,1990-05-17T05:08:00Z
GNS Science,EARSS/3,106,Poteriteri,Short Period,1993-03-22T04:51:00Z,1993-06-20T17:54:00Z
GNS Science,EARSS/3,106,Lyndon Lea,Short Period,1993-10-23T05:00:00Z,1994-03-12T21:53:00Z
GNS Science,EARSS/3,106,Te Kaha,Short Period,1994-11-19T08:54:00Z,1994-12-18T00:36:00Z
GNS Science,EARSS/3,106,"Pukekahu, Reporoa",Short Period,1995-01-10T15:45:00Z,1995-05-20T06:56:00Z
GNS Science,EARSS/3,106,Caravans Knob,Short Period,1995-11-12T00:00:00Z,1996-04-20T00:00:00Z
GNS Science,EARSS/3,106,Titirangi,Short Period,2001-01-08T13:32:00Z,2001-04-12T12:05:00Z
GNS Science,EARSS/3,107,Hanmer Springs,Short Period,1990-02-12T08:31:00Z,1990-02-14T18:51:00Z
GNS Science,EARSS/3,107,Fowlers,Short Period,1990-02-14T22:30:00Z,1990-02-15T19:46:00Z
GNS Science,EARSS/3,107,Tarndale,Short Period,1990-02-15T23:35:00Z,1990-02-17T13:26:00Z
GNS Science,EARSS/3,107,Four Mile River,Short Period,1991-01-30T06:09:00Z,1991-02-04T20:43:00Z
GNS Science,EARSS/3,107,Duck Cove,Short Period,1993-03-22T04:51:00Z,1993-06-19T07:27:00Z
GNS Science,EARSS/3,107,Deep Cove,Short Period,1993-08-13T00:18:00Z,1993-08-23T08:09:00Z
GNS Science,EARSS/3,107,Isolated Hill,Short Period,1993-10-22T10:34:00Z,1994-03-12T13:54:00Z
GNS Science,EARSS/3,107,Waipaoa,Short Period,1994-07-30T02:28:00Z,1994-12-11T01:06:00Z
GNS Science,EARSS/3,107,Kapenga Swamp,Short Period,1995-01-10T09:11:00Z,1995-02-08T16:55:00Z
