Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
CSI,CUSP-Me BOX,Me-12083,CPIB,29,90,0,-11,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12084,HBRB,21,296,0,0,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12085,HBRB,22,341,0,0,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12086,HBRB,23,26,0,-3.43,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12087,HBRB,24,50,0,-3.32,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12088,HBRB,25,71,0,-3.4,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12089,CPIB,2A,90,0,-14.4,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12090,WQAB,2E,100,0,0,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12091,HBRB,26,71,0,-3.38,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12092,STSB,28,54,0,-18.56,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12093,HBRB,27,71,0,-3.43,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12094,HBRB,28,26,0,-7.01,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12095,HBRB,29,50,0,-7,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12097,HBRB,2A,71,0,-7.03,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12099,CPIB,2B,90,0,-14.4,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12101,HBRB,2B,71,0,-7.04,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12102,HBRB,2C,71,0,-7.04,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12104,WQAB,2F,100,0,0,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12105,STSB,24,54,0,-3.6,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12106,CPIB,2C,90,0,-17.6,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12107,HBRB,2D,296,0,-10.3,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12108,HBRB,2E,341,0,-10.29,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12109,HBRB,2F,71,0,-10.3,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12110,WQAB,2G,100,0,0,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12111,HBRB,2G,251,0,-10.7,2011-03-22T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12114,CPIB,2D,90,0,-18,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12115,CPIB,2E,90,0,-18,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP3A,3A-040001,AMBC,20,266,0,0,2004-11-27T00:00:00Z,2010-03-25T00:30:00Z
CSI,CUSP3A,3A-040002,CSTC,20,178,0,0,2004-11-25T00:00:00Z,2010-03-24T03:30:00Z
CSI,CUSP3A,3A-040003,HORC,20,18,0,0,2004-11-29T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP3A,3A-040004,LSRC,20,255,0,0,2004-11-28T00:00:00Z,2010-03-25T03:00:00Z
CSI,CUSP3A,3A-040005,MAYC,20,284,0,0,2004-11-29T00:00:00Z,2011-03-24T20:00:00Z
CSI,CUSP3A,3A-040006,ROLC,20,151,0,0,2004-11-30T00:00:00Z,2014-09-09T02:30:00Z
CSI,CUSP3A,3A-040007,WIGC,20,345,0,0,2004-11-27T00:00:00Z,2010-03-25T04:30:00Z
CSI,CUSP3A,3A-040008,KPOC,20,15,0,0,2004-11-25T00:00:00Z,2011-08-25T23:00:00Z
CSI,CUSP3A,3A-040009,LINC,20,293,0,0,2004-12-02T00:00:00Z,2008-05-09T11:00:00Z
CSI,CUSP3A,3A-040010,SBRC,20,149,0,0,2004-12-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP3A,3A-040013,LRSC,20,221,0,0,2005-02-24T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP3A,3A-040015,DSLC,20,333,0,0,2005-04-12T00:00:00Z,2011-03-23T20:00:00Z
CSI,CUSP3A,3A-040016,RKAC,20,14,0,0,2005-02-23T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP3A,3A-040018,LPOC,20,83,0,0,2011-02-10T00:00:03Z,9999-01-01T00:00:00Z
CSI,CUSP3A,3A-040022,SHFC,20,225,0,0,2005-02-23T00:00:00Z,2010-03-24T01:30:00Z
CSI,CUSP3A,3A-040023,MSMC,20,29,0,0,2005-02-24T00:00:00Z,2007-07-26T12:00:00Z
CSI,CUSP3A,3A-040023,MSMC,20,29,0,0,2007-09-18T23:04:00Z,2007-10-10T01:00:00Z
CSI,CUSP3A,3A-040023,MSMC,20,29,0,0,2007-11-14T23:03:00Z,2008-05-21T23:00:00Z
CSI,CUSP3A,3A-040023,MSMC,20,299,0,0,2008-09-03T01:20:00Z,2009-11-19T21:00:00Z
CSI,CUSP3A,3A-040024,TPLC,20,243,0,0,2005-02-21T00:00:00Z,2011-08-25T04:30:00Z
CSI,CUSP3A,3A-040025,WSFC,20,232,0,0,2005-02-25T00:00:00Z,2011-08-26T04:00:00Z
CSI,CUSP3A,3A-040027,SWNC,20,294,0,0,2005-02-23T00:00:00Z,2006-06-16T01:59:00Z
CSI,CUSP3A,3A-040027,MSMC,20,29,0,0,2007-10-10T01:03:00Z,2007-11-14T23:00:00Z
CSI,CUSP3A,3A-040027,MSMC,20,299,0,0,2009-11-19T21:30:00Z,2009-12-06T22:00:00Z
CSI,CUSP3B,3B-050005,CULC,20,200,0,0,2005-11-15T01:00:00Z,2010-03-25T03:30:00Z
CSI,CUSP3B,3B-050006,DORC,20,340,0,0,2005-11-18T01:00:00Z,2014-03-21T00:00:00Z
CSI,CUSP3B,3B-050007,GDLC,20,215,0,0,2005-11-16T01:00:00Z,2013-03-27T00:05:00Z
CSI,CUSP3B,3B-050008,KOWC,20,70,0,0,2005-11-18T01:00:00Z,2010-03-24T02:30:00Z
CSI,CUSP3B,3B-050009,PEEC,20,259,0,0,2005-11-17T01:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP3B,3B-050010,SCAC,20,260,0,0,2005-11-16T01:00:00Z,2010-03-25T23:00:00Z
CSI,CUSP3B,3B-050011,WAKC,20,256,0,0,2005-11-14T01:00:02Z,2010-03-25T02:00:00Z
CSI,CUSP3B,3B-050012,WTMC,20,242,0,0,2005-11-15T01:00:00Z,2010-03-25T22:30:00Z
CSI,CUSP3B,3B-050015,LPCC,20,80,0,0,2007-03-22T12:00:32Z,2008-11-20T22:00:00Z
CSI,CUSP3B,3B-050015,LPCC,20,260,0,0,2008-11-20T22:30:00Z,9999-01-01T00:00:00Z
CSI,CUSP3B,3B-050016,SWNC,20,294,0,0,2006-10-21T01:00:00Z,2010-03-24T22:30:00Z
CSI,CUSP3B,3B-050017,SLRC,20,152,0,0,2010-11-04T03:03:00Z,2010-11-04T03:10:00Z
CSI,CUSP3B,3B-050020,RHSC,20,184,0,0,2008-05-07T05:13:00Z,2013-05-16T21:30:00Z
CSI,CUSP3B,3B-050021,NBLC,20,76,0,0,2008-05-08T03:39:34Z,9999-01-01T00:00:00Z
CSI,CUSP3B,3B-050026,SHLC,20,130,0,0,2008-01-31T01:23:00Z,9999-01-01T00:00:00Z
CSI,CUSP3B,3B-050035,HVSC,20,116,0,0,2008-05-12T03:01:00Z,9999-01-01T00:00:00Z
CSI,CUSP3B,3B-050047,MSMC,20,29,0,0,2007-07-26T13:00:02Z,2007-09-18T23:00:00Z
CSI,CUSP3B,3B-050047,MSMC,20,299,0,0,2009-12-06T22:45:00Z,2015-02-10T22:30:00Z
CSI,CUSP3B,3B-050048,CHHC,20,269,0,0,2006-08-16T21:00:00Z,2013-06-03T22:00:00Z
CSI,CUSP3B,3B-050049,SMTC,20,182,0,0,2008-01-29T20:31:00Z,9999-01-01T00:00:00Z
CSI,CUSP3B,3B-050050,HPSC,20,266,0,0,2008-01-29T02:31:00Z,9999-01-01T00:00:00Z
CSI,CUSP3B,3B-050052,LPCC,20,80,0,0,2006-08-15T00:01:00Z,2007-03-22T12:00:00Z
CSI,CUSP3B,3B-050052,WAKC,20,80,0,0,2010-05-03T22:09:00Z,2010-05-03T23:00:00Z
CSI,CUSP3B,3B-050056,PRPC,20,180,0,0,2006-08-14T04:01:00Z,2013-02-01T01:49:10Z
CSI,CUSP3B,3B-050057,CCCC,20,334,0,0,2006-08-16T04:01:00Z,9999-01-01T00:00:00Z
CSI,CUSP3B,3B-050058,LINC,20,293,0,0,2008-05-09T11:03:00Z,2012-12-19T02:25:00Z
CSI,CUSP3B,3B-050501,LCQC,20,260,0,0,2013-01-10T02:30:00Z,2015-01-27T00:30:00Z
CSI,CUSP3B,3B-050501,LCQC,20,80,0,0,2015-01-27T04:00:00Z,2015-10-01T00:00:00Z
CSI,CUSP3B,3B-050501,LCQC,20,170,0,0,2015-10-01T00:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP3B,3B-050501x,LCQC,20,345,0,0,2011-10-27T03:00:00Z,2012-06-16T22:00:00Z
CSI,CUSP3B,3B-050501x,LCQC,20,260,0,0,2012-06-16T22:15:00Z,2012-12-09T22:00:00Z
CSI,CUSP3C,3A-040001,D06C,20,180,0,0,2010-09-09T20:31:00Z,2012-04-19T21:10:00Z
CSI,CUSP3C,3A-040001,LINC,20,239,0,0,2012-12-19T02:30:00Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3A-040002,D10C,20,180,0,0,2010-09-09T23:01:00Z,2013-05-01T01:00:00Z
CSI,CUSP3C,3A-040002,CULC,20,180,0,0,2015-05-11T01:05:00Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3A-040004,D01C,20,152,0,0,2010-09-11T05:40:00Z,2010-11-04T03:00:00Z
CSI,CUSP3C,3A-040007,GDLC,20,215,0,0,2013-03-27T00:07:00Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3A-040007x,D05C,20,180,0,0,2010-09-09T20:45:00Z,2012-04-19T21:00:00Z
CSI,CUSP3C,3A-040009,DB2C,20,304,0,0,2010-09-10T03:35:00Z,2011-03-25T00:00:00Z
CSI,CUSP3C,3A-040009,WSFC,20,304,0,0,2011-08-27T04:45:00Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3A-040022,WTMC,20,242,0,0,2010-03-26T02:30:00Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3A-040023,D09C,20,90,0,0,2010-09-09T22:02:00Z,2013-05-01T01:00:00Z
CSI,CUSP3C,3A-040027,D03C,20,343,0,0,2010-09-11T01:01:00Z,2011-02-21T20:00:00Z
CSI,CUSP3C,3A-040027,SWNC,20,343,0,0,2013-01-24T21:30:00Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3B-050005x,DB1C,20,110,0,0,2010-09-09T05:35:00Z,2010-11-16T01:05:00Z
CSI,CUSP3C,3B-050007,DORC,20,340,0,0,2014-03-21T00:40:00Z,2015-04-07T21:00:00Z
CSI,CUSP3C,3B-050008,AMBC,20,266,0,0,2010-03-25T01:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3B-050010,SWNC,20,294,0,0,2012-08-06T23:15:00Z,2013-01-24T21:00:00Z
CSI,CUSP3C,3B-050010x,D07C,20,350,0,0,2010-09-10T05:35:00Z,2011-12-14T22:30:00Z
CSI,CUSP3C,3B-050010x,D07C,20,350,0,0,2011-12-14T22:30:01Z,2011-12-15T20:40:00Z
CSI,CUSP3C,3B-050011,LSRC,20,255,0,0,2013-06-13T04:45:00Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3B-050012,D04C,20,269,0,0,2010-09-10T21:35:00Z,2010-11-15T03:25:00Z
CSI,CUSP3C,3B-050012,D04C,20,269,0,0,2010-11-17T00:00:04Z,2012-01-09T00:00:00Z
CSI,CUSP3C,3B-050012,DALS,20,269,0,0,2012-01-09T00:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3B-050013,DB1C,20,110,0,0,2010-11-16T02:10:00Z,2011-12-14T22:30:00Z
CSI,CUSP3C,3B-050013,RHSC,20,184,0,0,2013-05-16T21:59:04Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3B-050014,SWNC,20,294,0,0,2010-03-24T23:15:00Z,2012-08-06T23:00:00Z
CSI,CUSP3C,3B-050014,PRPC,20,180,0,0,2013-02-01T01:50:01Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3B-050016,D08C,20,90,0,0,2010-09-10T01:10:00Z,2013-05-01T00:00:00Z
CSI,CUSP3C,3B-050017,SLRC,20,152,0,0,2010-11-04T03:50:00Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3B-050019,CSTC,20,178,0,0,2010-03-24T03:41:00Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3B-050024,SHFC,20,255,0,0,2010-03-24T03:40:01Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3B-050027,SCAC,20,260,0,0,2010-03-25T23:30:00Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3B-050030,KOWC,20,70,0,0,2010-03-24T21:30:00Z,2012-12-10T02:00:00Z
CSI,CUSP3C,3B-050030,CULC,20,200,0,0,2014-02-18T00:17:00Z,2015-05-11T01:00:00Z
CSI,CUSP3C,3B-050031,WIGC,20,345,0,0,2010-03-25T05:00:00Z,2013-06-13T01:30:00Z
CSI,CUSP3C,3B-050038,CULC,20,200,0,0,2010-03-25T03:40:00Z,2014-02-18T00:15:00Z
CSI,CUSP3C,3B-050040,LSRC,20,255,0,0,2010-03-25T03:20:00Z,2013-06-13T04:30:00Z
CSI,CUSP3C,3B-050040,DORC,20,340,0,0,2015-04-07T21:53:29Z,9999-01-01T00:00:00Z
CSI,CUSP3C,3B-050041,WAKC,20,256,0,0,2010-03-25T02:58:00Z,2010-05-03T22:00:00Z
