Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Deployment Role,Installation Date,Removal Date
GNSScience,EARSS/3,104,Torepatutahi,Short Period,1995-01-10T16:30:00Z,1995-01-20T19:28:00Z
GNSScience,EARSS/3,104,Earle Road Rocks,Short Period,1995-01-26T20:32:00Z,1995-06-08T17:54:00Z
GNSScience,EARSS/3,104,Middle Road,Short Period,1995-09-26T07:39:00Z,1996-01-08T22:28:00Z
GNSScience,EARSS/3,104,Te Apiti,Short Period,2001-01-09T11:09:00Z,2001-06-24T14:11:00Z
GNSScience,EARSS/3,105,Angora Road,Short Period,1990-02-20T22:33:00Z,1990-05-17T20:53:00Z
GNSScience,EARSS/3,105,Wairakei C,Short Period,1990-08-10T18:28:00Z,1990-08-22T20:55:00Z
GNSScience,EARSS/3,105,Fabian's Valley,Short Period,1993-10-18T22:25:00Z,1994-03-11T20:54:00Z
GNSScience,EARSS/3,105,Wellington Dominion Observatory,Broadband,1994-11-25T10:56:00Z,1995-06-22T18:31:00Z
GNSScience,EARSS/3,105,Blackball,Short Period,1995-11-11T00:00:00Z,1996-04-22T00:00:00Z
GNSScience,EARSS/3,105,Mount Cook,Short Period,1997-09-19T21:37:00Z,1997-10-10T14:54:00Z
GNSScience,EARSS/3,105,Rahui,Short Period,2001-01-14T16:55:00Z,2001-06-23T16:35:00Z
GNSScience,EARSS/3,105,Acheron #4,Short Period,2001-08-01T01:00:00Z,2001-08-30T09:00:00Z
GNSScience,EARSS/3,105,Musical Creek,Short Period,2001-12-11T01:02:00Z,2001-12-27T00:52:00Z
GNSScience,EARSS/3,105,Colonial Head,Short Period,2003-08-24T01:47:00Z,2003-09-15T15:11:00Z
GNSScience,EARSS/3,105,Charles Sound 2,Short Period,2003-09-25T01:21:00Z,2004-04-28T06:04:00Z
GNSScience,EARSS/3,106,Oreore,Short Period,1990-05-15T03:55:00Z,1990-05-17T05:08:00Z
GNSScience,EARSS/3,106,Poteriteri,Short Period,1993-03-22T04:51:00Z,1993-06-20T17:54:00Z
GNSScience,EARSS/3,106,Lyndon Lea,Short Period,1993-10-23T05:00:00Z,1994-03-12T21:53:00Z
GNSScience,EARSS/3,106,Te Kaha,Short Period,1994-11-19T08:54:00Z,1994-12-18T00:36:00Z
GNSScience,EARSS/3,106,"Pukekahu, Reporoa",Short Period,1995-01-10T15:45:00Z,1995-05-20T06:56:00Z
GNSScience,EARSS/3,106,Caravans Knob,Short Period,1995-11-12T00:00:00Z,1996-04-20T00:00:00Z
GNSScience,EARSS/3,106,Titirangi,Short Period,2001-01-08T13:32:00Z,2001-04-12T12:05:00Z
GNSScience,EARSS/3,107,Hanmer Springs,Short Period,1990-02-12T08:31:00Z,1990-02-14T18:51:00Z
GNSScience,EARSS/3,107,Fowlers,Short Period,1990-02-14T22:30:00Z,1990-02-15T19:46:00Z
GNSScience,EARSS/3,107,Tarndale,Short Period,1990-02-15T23:35:00Z,1990-02-17T13:26:00Z
GNSScience,EARSS/3,107,Four Mile River,Short Period,1991-01-30T06:09:00Z,1991-02-04T20:43:00Z
GNSScience,EARSS/3,107,Duck Cove,Short Period,1993-03-22T04:51:00Z,1993-06-19T07:27:00Z
GNSScience,EARSS/3,107,Deep Cove,Short Period,1993-08-13T00:18:00Z,1993-08-23T08:09:00Z
GNSScience,EARSS/3,107,Isolated Hill,Short Period,1993-10-22T10:34:00Z,1994-03-12T13:54:00Z
GNSScience,EARSS/3,107,Waipaoa,Short Period,1994-07-30T02:28:00Z,1994-12-11T01:06:00Z
GNSScience,EARSS/3,107,Kapenga Swamp,Short Period,1995-01-10T09:11:00Z,1995-02-08T16:55:00Z
GNSScience,EARSS/3,107,Hossock Road Extension,Short Period,1995-02-16T08:51:00Z,1995-05-14T15:44:00Z
GNSScience,EARSS/3,107,Ahaura,Short Period,1995-11-19T17:31:00Z,1995-12-12T01:28:00Z
GNSScience,EARSS/3,107,Crestridge,Short Period,2001-01-09T11:09:00Z,2001-06-24T11:39:00Z
GNSScience,EARSS/3,108,Ngariki Road,Short Period,1989-08-17T01:06:00Z,1989-08-21T18:45:00Z
GNSScience,EARSS/3,108,Mahoenui,Short Period,1989-09-28T03:26:00Z,1989-10-29T02:13:00Z
GNSScience,EARSS/3,108,Whitehall,Short Period,1989-10-30T13:35:00Z,1989-12-16T06:56:00Z
GNSScience,EARSS/3,108,Hanmer Springs,Short Period,1990-02-11T10:10:00Z,1990-02-11T18:36:00Z
GNSScience,EARSS/3,108,Maling Pass,Short Period,1990-02-12T05:29:00Z,1990-02-18T01:09:00Z
GNSScience,EARSS/3,108,Mount Kruse,Short Period,1990-02-18T02:37:00Z,1990-02-25T21:23:00Z
GNSScience,EARSS/3,108,Wairakei B,Short Period,1990-08-13T10:46:00Z,1990-08-22T20:55:00Z
GNSScience,EARSS/3,108,Bend Point,Short Period,1993-03-19T23:49:00Z,1993-06-25T07:28:00Z
GNSScience,EARSS/3,108,Knob's Flat,Short Period,1993-08-14T01:46:00Z,1993-08-15T20:56:00Z
GNSScience,EARSS/3,108,Resolution Island,Short Period,1993-08-16T00:21:00Z,1993-08-28T18:08:00Z
GNSScience,EARSS/3,108,Isis Stream,Short Period,1993-10-18T05:51:00Z,1994-03-11T18:48:00Z
GNSScience,EARSS/3,108,Ruatahunga,Short Period,1994-07-28T07:44:00Z,1994-12-13T16:23:00Z
GNSScience,EARSS/3,108,Dunkirk Road,Short Period,1995-01-10T09:13:00Z,1995-06-04T10:05:00Z
GNSScience,EARSS/3,108,Karioi,Short Period,1995-09-28T13:38:00Z,1995-10-20T15:08:00Z
GNSScience,EARSS/3,108,Christiana Ski Club,Short Period,1995-10-21T02:28:00Z,1995-12-25T17:16:00Z
GNSScience,EARSS/3,108,Poulter River,Short Period,1996-02-08T00:00:00Z,1996-04-18T00:00:00Z
GNSScience,EARSS/3,108,Konini,Short Period,2001-01-09T23:09:00Z,2001-02-21T10:43:00Z
GNSScience,EARSS/3,108,Awanui,Short Period,2001-05-01T06:36:00Z,2001-06-24T14:11:00Z
GNSScience,EARSS/3,109,Mount Kruse,Short Period,1990-02-13T15:38:00Z,1990-02-17T07:25:00Z
GNSScience,EARSS/3,109,Kaitoke Farm,Short Period,1990-05-14T01:23:00Z,1990-05-17T22:05:00Z
GNSScience,EARSS/3,109,Smithy Creek,Short Period,1993-03-18T10:04:00Z,1993-06-19T19:26:00Z
GNSScience,EARSS/3,109,Tiniroto Lakes,Short Period,1993-08-13T06:32:00Z,1993-09-09T01:01:00Z
GNSScience,EARSS/3,109,Maxwell Pass,Short Period,1993-10-19T06:34:00Z,1994-03-11T01:37:00Z
GNSScience,EARSS/3,109,Muriwai,Short Period,1994-07-23T06:01:00Z,1994-12-10T14:59:00Z
GNSScience,EARSS/3,109,Wharenui,Short Period,1995-01-09T13:07:00Z,1995-06-06T14:45:00Z
GNSScience,EARSS/3,109,Matukituki,Short Period,1995-11-12T00:00:00Z,1996-03-24T00:00:00Z
GNSScience,EARSS/3,110,Angora Road,Short Period,1992-03-03T20:46:00Z,1992-04-07T17:01:00Z
GNSScience,EARSS/3,110,Te Anau Control Gates,Short Period,1993-05-22T11:56:00Z,1993-06-03T11:18:00Z
GNSScience,EARSS/3,110,No Man's Creek,Short Period,1993-10-21T02:48:00Z,1994-03-04T00:18:00Z
GNSScience,EARSS/3,110,Top of the Bruce,Short Period,1995-10-03T15:26:00Z,1995-10-22T11:47:00Z
GNSScience,EARSS/3,110,Birch Farm,Short Period,1996-04-03T16:10:00Z,1996-05-01T19:07:00Z
GNSScience,EARSS/3,110,Kidnappers,Short Period,2001-01-30T22:48:00Z,2001-06-24T11:39:00Z
GNSScience,EARSS/3,110,Cranky Creek,Short Period,2001-12-10T03:28:00Z,2001-12-27T02:46:00Z
GNSScience,EARSS/3,111,Te Uri,Short Period,1990-02-20T02:23:00Z,1990-05-17T17:11:00Z
GNSScience,EARSS/3,111,Wairakei A,Short Period,1990-08-10T18:28:00Z,1990-08-19T01:52:00Z
GNSScience,EARSS/3,111,Te Anau Control Gates,Short Period,1993-03-24T04:20:00Z,1993-05-18T20:58:00Z
GNSScience,EARSS/3,111,Supply Bay,Short Period,1993-08-12T05:21:00Z,1993-08-27T00:15:00Z
GNSScience,EARSS/3,111,Molesworth,Short Period,1993-10-18T05:51:00Z,1994-01-25T18:57:00Z
GNSScience,EARSS/3,111,Sugar Loaf,Short Period,1994-04-17T00:54:00Z,1994-05-24T17:59:00Z
GNSScience,EARSS/3,111,Hossock Road Extension,Short Period,1995-01-11T09:47:00Z,1995-02-10T02:17:00Z
GNSScience,EARSS/3,111,Gully Road,Short Period,1995-03-13T05:24:00Z,1995-04-17T11:51:00Z
GNSScience,EARSS/3,111,Tara,Short Period,2001-01-10T10:11:00Z,2001-06-24T00:10:00Z
GNSScience,EARSS/3,112,Maroa,Short Period,1990-02-21T03:18:00Z,1990-02-22T21:30:00Z
GNSScience,EARSS/3,112,Oban DoC Ranger Station,Short Period,1990-09-11T06:29:00Z,1990-09-16T22:56:00Z
GNSScience,EARSS/3,112,Supply Bay,Short Period,1993-03-22T04:51:00Z,1993-06-19T19:26:00Z
GNSScience,EARSS/3,112,Waihopai,Short Period,1993-10-19T06:34:00Z,1994-03-12T01:55:00Z
GNSScience,EARSS/3,112,Lake Pearson,Short Period,1994-06-22T02:04:00Z,1994-07-04T16:59:00Z
GNSScience,EARSS/3,112,Toatoa,Short Period,1994-08-07T11:27:00Z,1994-12-17T20:44:00Z
GNSScience,EARSS/3,112,Ohau,Short Period,1995-11-17T00:00:00Z,1996-04-16T00:00:00Z
GNSScience,EARSS/3,113,Tamaki East,Short Period,1990-05-14T23:42:00Z,1990-05-18T00:46:00Z
GNSScience,EARSS/3,113,White Water River,Short Period,1993-03-20T06:03:00Z,1993-06-25T07:15:00Z
GNSScience,EARSS/3,113,Tauwhareparae School,Short Period,1993-08-12T05:30:00Z,1993-09-08T23:09:00Z
GNSScience,EARSS/3,113,Serpentine Creek,Short Period,1993-10-21T02:48:00Z,1994-03-04T00:18:00Z
GNSScience,EARSS/3,113,Te Kaha,Short Period,1994-08-05T21:49:00Z,1994-11-18T23:08:00Z
GNSScience,EARSS/3,113,Maruia,Short Period,1995-11-11T00:00:00Z,1996-04-22T00:00:00Z
GNSScience,EARSS/3,114,Alfredton,Short Period,1993-02-01T01:22:00Z,1993-02-21T08:48:00Z
GNSScience,EARSS/3,114,Hauroko Burn,Short Period,1993-03-20T13:25:00Z,1993-06-18T20:21:00Z
GNSScience,EARSS/3,114,Castle River,Short Period,1993-10-18T05:51:00Z,1994-03-11T20:39:00Z
GNSScience,EARSS/3,114,Bluff Hill,Short Period,1994-04-15T09:01:00Z,1994-05-16T15:38:00Z
GNSScience,EARSS/3,114,Lake Ida,Short Period,1994-06-20T02:08:00Z,1994-06-28T10:28:00Z
GNSScience,EARSS/3,114,Avondale,Short Period,1994-07-24T04:55:00Z,1994-12-12T02:13:00Z
GNSScience,EARSS/3,114,Waiotapu,Short Period,1995-01-12T09:04:00Z,1995-05-23T00:12:00Z
GNSScience,EARSS/3,114,Landsborough Station,Short Period,1995-11-16T00:00:00Z,1995-12-18T23:59:59Z
GNSScience,EARSS/3,114,Orari River,Short Period,1996-01-06T00:00:00Z,1996-04-19T00:00:00Z
GNSScience,EARSS/3,114,Ophero,Short Period,2001-01-10T01:16:00Z,2001-06-24T00:10:00Z
GNSScience,EARSS/3,114,Deep Cove,Short Period,2003-08-23T02:05:00Z,2004-03-30T20:09:00Z
GNSScience,EARSS/3,115,Mangatainoka River,Short Period,1992-04-08T04:21:00Z,1992-06-23T20:10:00Z
GNSScience,EARSS/3,115,Control Gates 1,Short Period,1993-03-21T05:04:00Z,1993-06-16T05:18:00Z
