Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
Kinemetrics,Q330/3,939,Galatos Road - Hughes Farm Q330,2009-11-12T02:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,942,Pukeiti Hill Q330,2006-12-06T04:07:01Z,2013-12-04T21:00:00Z
Kinemetrics,Q330/3,942,Tauwhareparae Station Q330,2014-07-22T22:40:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,943,Tintock Q330,2006-03-07T12:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,944,Black Hill Station Q330,2008-06-04T00:01:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,945,Omania Q330,2007-04-04T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,946,Great Barrier Island Navy Field Station Q330,2007-06-11T23:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,948,Republican Road Q330,2007-12-10T19:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,951,Moikau Station Q330,2004-08-13T00:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,952,Kahuranaki Q330,2007-06-07T22:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,953,Paritu Road Q330,2007-08-02T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,954,Karewarewa Q330,2005-03-02T00:00:01Z,2012-11-22T21:00:00Z
Kinemetrics,Q330/3,954,Moawhango Dam Q330,2013-05-03T00:00:21Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,955,Waiatarua Q330,2006-12-13T02:20:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,956,Oturere Q330,2010-04-21T00:00:02Z,2013-10-01T22:00:00Z
Kinemetrics,Q330/3,956,Mount Edgecumbe Q330,2013-11-19T21:45:01Z,2014-10-13T00:00:30Z
Kinemetrics,Q330/3,957,Holdsworth Station Q330,2007-02-22T23:30:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,958,Hathaway Farm Q330,2007-03-22T00:00:02Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,959,Te Maipa Q330,2007-02-23T21:15:00Z,2008-03-27T22:00:00Z
Kinemetrics,Q330/3,959,Rimuhau Hill Q330,2009-06-08T23:00:01Z,2010-03-12T00:00:00Z
Kinemetrics,Q330/3,959,Maungataniwha Q330,2011-10-20T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,960,Carnagh Station Q330,2007-08-04T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,961,The Paps Q330,2006-05-07T02:23:54Z,2007-05-02T22:00:00Z
Kinemetrics,Q330/3,961,Allen Road Cliffs Q330,2007-11-07T01:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1177,Mount Edgecumbe Q330,2007-05-31T03:00:01Z,2008-06-30T23:50:00Z
Kinemetrics,Q330/3,1177,Rawiri Station Q330,2009-06-10T03:30:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1178,Blackbirch Station Q330,2006-01-18T20:30:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1179,"Highcliff Hill, Dunedin Q330",2006-04-08T02:00:01Z,2008-06-26T03:30:00Z
Kinemetrics,Q330/3,1179,Kiriroa Q330,2011-08-18T12:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1180,Poihipi Q330,2005-07-05T01:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1181,Eastland Port Q330,2008-02-13T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1182,Kakaramea Q330,2006-02-28T00:00:01Z,2011-09-21T00:00:10Z
Kinemetrics,Q330/3,1182,Whataroa Gaunt Creek Q330,2012-06-21T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1183,Utuhina Q330,2006-02-11T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1184,Kaharoa Q330,2006-05-02T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1185,Motutapu Island Q330,2007-06-25T03:00:01Z,2012-10-09T01:45:00Z
Kinemetrics,Q330/3,1185,Lathrope Road Q330,2013-02-20T04:30:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1186,Kawakawa Station Q330,2007-02-20T04:38:01Z,2007-06-27T23:30:00Z
Kinemetrics,Q330/3,1186,Porangahau Q330,2007-11-29T22:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1187,Oturere Q330,2007-03-20T00:00:01Z,2010-04-20T09:00:00Z
Kinemetrics,Q330/3,1187,Awhitu Peninsula Q330,2010-12-13T20:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1188,Tory Channel Q330,2005-12-14T22:30:01Z,2011-03-25T00:00:00Z
Kinemetrics,Q330/3,1188,Mangatainoka River Q330,2011-04-13T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1189,Mayor Island Q330,2006-02-13T00:00:01Z,2012-03-06T00:00:00Z
Kinemetrics,Q330/3,1189,Mayor Island Q330,2012-08-31T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1190,Ohinepanea Seismic Q330,2006-11-14T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1191,Traveller Q330,2005-06-22T00:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1193,The Home Place Q330,2006-10-19T20:30:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1194,Waikawa Valley Q330,2006-05-05T00:20:00Z,2007-11-29T00:13:00Z
Kinemetrics,Q330/3,1194,Waitaha Valley Q330,2011-10-10T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1195,Old GNS Wairakei Q330,2006-08-31T00:00:01Z,2007-01-24T01:00:00Z
Kinemetrics,Q330/3,1195,Chateau Observatory Q330,2007-03-07T00:00:02Z,2010-11-30T22:30:00Z
Kinemetrics,Q330/3,1195,Old Kaimai Road Q330,2011-03-08T00:00:02Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1196,Manawahe Q330,2005-11-23T00:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1197,Ambury Farm Q330,2008-03-11T22:00:01Z,2008-03-14T01:00:00Z
Kinemetrics,Q330/3,1197,Lathrope Road Q330,2008-04-01T00:30:01Z,2013-02-20T00:30:00Z
Kinemetrics,Q330/3,1197,North Tongariro Q330,2013-06-05T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2108,Raoul Island Boat Cove Q330,2009-05-18T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2141,Palmer Road Q330,2010-02-23T00:00:01Z,2014-05-14T00:00:00Z
Kinemetrics,Q330/3,2141,Mount Edgecumbe Q330,2014-10-13T00:00:41Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2216,Turoa Road End Q330,2009-02-10T23:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2218,Matakaoa Point Q330,2011-08-18T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2220,Iwikau Village Q330,2009-01-27T21:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2232,Owenga Q330,2007-12-15T12:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2236,Aropaoanui Q330,2010-03-11T21:15:01Z,2012-01-19T22:29:01Z
Kinemetrics,Q330/3,2236,Greta Valley Q330,2012-11-26T00:00:02Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2237,Newall Road Q330,2008-01-22T19:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2238,Post Office Road Q330,2008-04-23T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2239,Waihua Q330,2009-06-07T22:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2321,Otaki Gorge Q330,2007-09-24T01:00:01Z,2008-01-29T21:20:00Z
Kinemetrics,Q330/3,2321,Pakihiroa Q330,2010-10-19T00:20:01Z,2011-01-13T00:00:00Z
Kinemetrics,Q330/3,2321,Kakaramea Q330,2011-09-21T00:00:11Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2322,Raoul Island Fishing Rock Q330,2009-05-18T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2323,Mount Tarawera Q330,2007-11-21T21:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2324,Pukeatua Road Q330,2008-01-14T02:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2325,Plateau Road Q330,2007-11-12T22:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2327,Te Maipa Q330,2008-03-27T22:00:02Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2328,Lottin Point Q330,2008-10-03T06:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2329,Kawakawa Station Q330,2007-06-27T23:30:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2330,Waihaha Q330,2009-06-05T00:53:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2331,Karaka Road Borehole Q330,2008-11-11T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2332,Mount Edgecumbe Q330,2008-06-30T23:55:01Z,2013-11-19T21:25:00Z
Kinemetrics,Q330/3,2333,Kaahu Road Q330,2010-04-14T21:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2334,Durham Road Q330,2008-03-03T02:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2335,Whangaparaoa Navy Base Q330,2008-10-13T01:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2336,Pori Road Q330,2008-11-03T01:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2337,Hossack Road Q330,2010-04-12T21:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2339,Otaraoa Road Q330,2008-03-03T02:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2340,Highlands Station Q330,2008-12-02T22:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2342,Waiomatatini Station Q330,2009-12-10T08:00:01Z,2014-11-25T02:00:00Z
