Mark Code,Network Code,Mark Name,Mark Type,Latitude,Longitude,Height,Datum,Vertical Offset,Dome Number,Plan Reference,Protection,Sky View,Established By,Start Time,End Time
PUKE,CG,Puketiti,Not Specified,-38.07141492,178.257359581,468.075,NZGD2000,-1.55,,,,No obstruction above 10 degrees elevation,,2004-02-15T11:00:00Z,9999-01-01T01:32:14Z
PUKE,CG,Puketiti,Iron Spike,-38.07141492,178.257359581,468.075,NZGD2000,-1.55,,,,No obstruction above 10 degrees elevation,,2004-02-15T11:00:00Z,9999-01-01T01:32:14Z
PUKE,CG,Puketiti,Lead Plug,-38.07141492,178.257359581,468.075,NZGD2000,-1.55,,,,No obstruction above 10 degrees elevation,,2004-02-15T11:00:00Z,9999-01-01T01:32:14Z
PUKE,CG,Puketiti,Steel Pin,-38.07141492,178.257359581,468.075,NZGD2000,-1.55,,,,No obstruction above 10 degrees elevation,,2004-02-15T11:00:00Z,9999-01-01T01:32:14Z
PUKE,CG,Puketiti,Iron Rod,-38.07141492,178.257359581,468.075,NZGD2000,-1.55,,,,No obstruction above 10 degrees elevation,,2004-02-15T11:00:00Z,9999-01-01T01:32:14Z
PUKE,CG,Puketiti,Forced Centering,-38.07141492,178.257359581,468.075,NZGD2000,-1.55,,,,No obstruction above 10 degrees elevation,,2004-02-15T11:00:00Z,9999-01-01T01:32:14Z
PUKE,CG,Puketiti,Unmarked mark,-38.07141492,178.257359581,468.075,NZGD2000,-1.55,,,,No obstruction above 10 degrees elevation,,2004-02-15T11:00:00Z,9999-01-01T01:32:14Z
PYGR,LI,Puysegur Point,Nail,-46.166175171,166.680740474,253.0808,NZGD2000,-1.15,50240M001,,,Good,,2006-12-03T11:00:00Z,9999-01-01T00:49:55Z
PYGR,LI,Puysegur Point,Lead Plug,-46.166175171,166.680740474,253.0808,NZGD2000,-1.15,50240M001,,,Good,,2006-12-03T11:00:00Z,9999-01-01T00:49:55Z
PYGR,LI,Puysegur Point,Iron Rod,-46.166175171,166.680740474,253.0808,NZGD2000,-1.15,50240M001,,,Good,,2006-12-03T11:00:00Z,9999-01-01T00:49:55Z
PYGR,LI,Puysegur Point,Forced Centering,-46.166175171,166.680740474,253.0808,NZGD2000,-1.15,50240M001,,,Good,,2006-12-03T11:00:00Z,9999-01-01T00:49:55Z
PYGR,LI,Puysegur Point,Unmarked mark,-46.166175171,166.680740474,253.0808,NZGD2000,-1.15,50240M001,,,Good,,2006-12-03T11:00:00Z,9999-01-01T00:49:55Z
PYGR,LI,Puysegur Point,Iron Spike,-46.166175171,166.680740474,253.0808,NZGD2000,-1.15,50240M001,,,Good,,2006-12-03T11:00:00Z,9999-01-01T00:49:55Z
PYGR,LI,Puysegur Point,Steel Pin,-46.166175171,166.680740474,253.0808,NZGD2000,-1.15,50240M001,,,Good,,2006-12-03T11:00:00Z,9999-01-01T00:49:55Z
PYGR,LI,Puysegur Point,Bronze Pin,-46.166175171,166.680740474,253.0808,NZGD2000,-1.15,50240M001,,,Good,,2006-12-03T11:00:00Z,9999-01-01T00:49:55Z
PYGR,LI,Puysegur Point,Stainless Steel Pin,-46.166175171,166.680740474,253.0808,NZGD2000,-1.15,50240M001,,,Good,,2006-12-03T11:00:00Z,9999-01-01T00:49:55Z
