Monument Mark,Monument Code,Eccentricity,Date Established,Date Removed
VGT8,Unknown,none,2013-06-05T12:00:00Z,9999-01-01T00:00:00Z
VGTM,Short Braced,none,2012-01-31T11:00:00Z,9999-01-01T00:00:00Z
VGTR,Pillar,None,2005-03-16T11:00:00Z,9999-01-01T00:00:00Z
VGTS,Pillar,None,2005-03-16T11:00:00Z,9999-01-01T00:00:00Z
VGWH,Pillar,None,2005-02-24T11:00:00Z,9999-01-01T00:00:00Z
VGWN,Pillar,None,2005-05-17T12:00:00Z,9999-01-01T00:00:00Z
VGWT,Pillar,none,2004-03-18T11:00:00Z,9999-01-01T00:00:00Z
WAHU,Deep Braced,None,2008-12-31T11:00:00Z,9999-01-01T00:00:00Z
WAIM,Pillar,None,2004-12-14T11:00:00Z,9999-01-01T00:00:00Z
WAKA,Pillar,None,2000-11-01T11:00:00Z,9999-01-01T00:00:00Z
WANG,Pillar,None,2003-04-09T12:00:00Z,9999-01-01T00:00:00Z
WARK,Deep Braced,none,2008-12-31T11:00:00Z,9999-01-01T00:00:00Z
WEST,Pillar,None,2004-09-21T12:00:00Z,9999-01-01T00:00:00Z
WGTN,Pillar,None,1996-05-16T12:00:00Z,9999-01-01T00:00:00Z
WGTT,Mast,None,1999-12-13T11:00:00Z,9999-01-01T00:00:00Z
WHKT,Deep Braced,None,2009-03-22T11:00:00Z,9999-01-01T00:00:00Z
WHNG,Pillar,None,2003-04-08T12:00:00Z,9999-01-01T00:00:00Z
WHVR,Deep Braced,None,2011-09-29T11:00:00Z,9999-01-01T00:00:00Z
WITH,Deep Braced,None,2009-11-08T11:00:00Z,9999-01-01T00:00:00Z
WMAT,Deep Braced,None,2008-12-31T11:00:00Z,9999-01-01T00:00:00Z
WPAW,Deep Braced,none,2006-04-19T12:00:00Z,9999-01-01T00:00:00Z
WPUK,Deep Braced,none,2006-04-18T12:00:00Z,9999-01-01T00:00:00Z
WRAU,Unknown,None,2013-05-31T12:00:00Z,9999-01-01T00:00:00Z
YALD,Deep Braced,none,2014-09-15T12:00:00Z,9999-01-01T00:00:00Z
