Station Code,Location Code,Datalogger Place,Offset,Length,Start Date,End Date
EAZ,20,Earnscleugh Q330s,0,3,2014-11-03T11:02:00Z,9999-01-01T00:00:00Z
EDRZ,10,Mount Edgecumbe Q330,0,1,2006-02-15T11:00:01Z,9999-01-01T00:00:00Z
ELDF,10,South of Mount Elder Taurus,0,3,2007-10-17T08:00:02Z,2007-11-27T09:00:00Z
EPAZ,10,Eden Park Q330,0,3,2011-08-22T12:01:00Z,9999-01-01T00:00:00Z
ESND,10,Essendon Taurus,0,3,2010-09-04T14:53:04Z,2010-09-28T11:00:00Z
ETAZ,10,East Tamaki Reservoir Q330,0,3,2010-02-10T11:00:03Z,9999-01-01T00:00:00Z
ETVZ,10,East Tongariro Q330s,3,3,2014-03-11T11:00:00Z,9999-01-01T00:00:00Z
ETVZ,10,East Tongariro Taurus,0,3,2014-03-11T11:00:00Z,2014-03-19T08:00:00Z
EYCZ,10,Eyrewell Q330,0,3,2012-03-20T08:00:01Z,2013-12-02T09:00:00Z
FOZ,10,The Sugar Loaf Quarry Q330,3,3,2004-10-12T11:00:00Z,9999-01-01T00:00:00Z
FOZ,20,The Sugar Loaf Quarry Q330,0,3,2004-10-12T11:00:02Z,9999-01-01T00:00:00Z
FWVZ,10,Far West Q330,3,3,2004-10-22T14:00:00Z,9999-01-01T00:00:00Z
FWVZ,10,Far West Q730,0,3,1999-05-10T12:00:00Z,2004-09-12T11:00:30Z
FWVZ,30,Far West Q330,3,1,2004-10-22T14:00:00Z,9999-01-01T00:00:00Z
FWVZ,30,Far West Q730,3,1,2001-07-04T13:30:00Z,2004-09-12T11:00:30Z
GBIH,41,Great Barrier Island Navy Field Station Q330,0,1,2007-06-11T12:00:00Z,9999-01-01T00:00:00Z
GBIH,42,Great Barrier Island Navy Field Station Q330,1,1,2007-06-11T12:00:00Z,9999-01-01T00:00:00Z
GBIH,43,Great Barrier Island Navy Field Station Q330,2,1,2007-06-11T12:00:00Z,9999-01-01T00:00:00Z
GBIT,40,Korotiti Bay Q330,0,1,2010-07-25T12:00:00Z,9999-01-01T00:00:00Z
GBIT,41,Korotiti Bay Q330,1,1,2010-07-25T12:00:00Z,9999-01-01T00:00:00Z
GCSZ,10,Whataroa Gaunt Creek Q330,0,3,2012-04-19T12:00:01Z,9999-01-01T00:00:00Z
GIST,40,Eastland Port Q330,0,1,2008-02-12T11:00:01Z,9999-01-01T00:00:00Z
GIST,41,Eastland Port Q330,1,1,2008-02-12T11:00:01Z,9999-01-01T00:00:00Z
GISX,10,Patutahi Taurus,0,3,2006-07-22T09:00:01Z,2006-08-16T17:00:00Z
GLKZ,10,Raoul Island Green Lake Q330,3,3,2009-05-18T12:00:00Z,9999-01-01T00:00:00Z
GLKZ,40,Raoul Island Green Lake Q330,3,1,2009-05-18T12:00:00Z,9999-01-01T00:00:00Z
GLKZ,80,Raoul Island Green Lake Q330,4,1,2009-05-17T12:00:01Z,9999-01-01T00:00:00Z
GLKZ,81,Raoul Island Green Lake Q330,5,1,2009-05-17T12:00:01Z,9999-01-01T00:00:00Z
GNSW,30,Old GNS Wairakei Q330,0,1,2006-08-30T12:00:02Z,2007-01-23T12:00:00Z
