Station,Location,Band,Source,Sampling Rate,Axial,Triggered,Start Date,End Date
NZL,40,U,T,-15,false,false,2021-07-12T00:00:00Z,2023-06-03T00:00:00Z
NZL,41,W,T,-900,false,false,2023-06-03T20:15:00Z,9999-01-01T00:00:00Z
NZL,41,U,T,-15,false,false,2023-06-03T20:15:00Z,9999-01-01T00:00:00Z
OTAT,40,L,T,1,false,false,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,40,B,T,10,false,false,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,41,L,T,1,false,false,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,41,B,T,10,false,false,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
PUYT,40,L,T,1,false,false,2009-11-28T00:00:00Z,9999-01-01T00:00:00Z
PUYT,40,B,T,10,false,false,2009-11-28T00:00:00Z,9999-01-01T00:00:00Z
PUYT,41,L,T,1,false,false,2009-11-28T00:00:00Z,9999-01-01T00:00:00Z
PUYT,41,B,T,10,false,false,2009-11-28T00:00:00Z,9999-01-01T00:00:00Z
RBCT,40,V,T,0.1,false,false,2010-10-27T03:00:00Z,9999-01-01T00:00:00Z
RBCT,40,L,T,1,false,false,2010-10-27T03:00:00Z,9999-01-01T00:00:00Z
RBCT,40,B,T,10,false,false,2010-10-27T03:00:00Z,9999-01-01T00:00:00Z
RBCT,41,V,T,0.1,false,false,2010-10-27T03:00:00Z,9999-01-01T00:00:00Z
RBCT,41,L,T,1,false,false,2010-10-27T03:00:00Z,9999-01-01T00:00:00Z
RBCT,41,B,T,10,false,false,2010-10-27T03:00:00Z,9999-01-01T00:00:00Z
RFRT,40,V,T,0.1,false,false,2011-11-09T00:00:00Z,9999-01-01T00:00:00Z
RFRT,40,L,T,1,false,false,2011-11-09T00:00:00Z,9999-01-01T00:00:00Z
RFRT,40,B,T,10,false,false,2011-11-09T00:00:00Z,9999-01-01T00:00:00Z
RFRT,41,V,T,0.1,false,false,2011-11-09T00:00:00Z,9999-01-01T00:00:00Z
RFRT,41,L,T,1,false,false,2011-11-09T00:00:00Z,9999-01-01T00:00:00Z
RFRT,41,B,T,10,false,false,2011-11-09T00:00:00Z,9999-01-01T00:00:00Z
