Station,Location,Calibration,Magnitude Type,Start Date,End Date,Citations,Notes 
MTVZ,10,0.54400985,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
MTW,10,0.05101228,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
MUGZ,10,0.092370578,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
MWZ,10,-0.052831832,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
MXZ,10,-0.109395165,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
MYRZ,10,0.282536909,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
NBEZ,10,0.137697316,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
NEZ,10,-0.032885253,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
NEZ,11,-0.032885253,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
NGRZ,10,-0.269804783,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
NGZ,10,0.1456729,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
NMEZ,10,0.282452386,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
NMHZ,10,0.34304362,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
NNVZ,10,0.221921989,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
NNZ,10,0.035801066,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
NTVZ,10,0.132664703,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
NWEZ,10,-0.043372046,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
ODZ,10,0.168572108,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
