Station,Layer,", Material  (Description)",", Overburden (Strength)",", Thickness ((m))",", Thickness (Notes)",", Notes ()",", References ()",", Bulk Dens ((t/m3))",", Bulk Dens (Notes)",", SPT(N) ()",", SPT(N) (Notes)",", Vs ((m/s))",", Vs (Notes)"
001A,1,silt with gravel,soft,5,,soft/ loose alluvial silt with gravel,,,,,,,
001A,2,silt/clay,soft,7,,very soft-soft estuarine mud with some shingle and basalt blocks,,,,,,,
002A,1,fill /slopewash over sandstone,dense,2,2m of fill 38 m sandstone,,,,,,,,
003A,1,,,0,,,,,,,,,
007A,1,sand & gravel,loose,20,?,loose to medium dense,,,,,,,
007A,2,sand & gravel,very dense,100,?,older sand & gravel,,,,,,,
007B,1,sand & gravel,loose,20,?,loose to medium dense,,,,,,,
007B,2,sand & gravel,very dense,100,?,older sand & gravel,,,,,,,
012A,1,tuff / lapilli,soft,7.5,,soft / loose,,,,,,,
012B,1,tuff / lapilli,soft,7.5,,soft / loose,,,,,,,
013A,1,"ash, gravel, lava blocks",medium dense,7,5 - 10?,,,,,,,,
014A,1,"sand, silt",very soft,200,?,"very soft/ very loose marine sand, silt & swamp deposits",,,,,,,95-194
015A,1,fill,medium dense,2,,,,,,,,,
016A,1,"gravel, sand & silt",medium dense,10,,medium dense/ stiff pumiceous marine,,,,,,,
017A,1,sand,loose,5,,,,,,,,,
017A,2,silt & clay,soft,20,,marine,,,,,,,
017A,3,silt & clay,firm,15,,firm to stiff fluvial,,,,,,,
017B,1,sand,loose,5,,,,,,,,,
017B,2,silt & clay,soft,20,,marine,,,,,,,
017B,3,silt & clay,firm,15,,firm to stiff fluvial,,,,,,,
018A,1,fill & sand,loose,4,,,,,,,,,
018A,2,silt & clay,soft,21,,estuarine & marine,,,,,,,
018A,3,silt & clay,firm,15,,firm to stiff fluvial,,,,,,,
019B,1,gravel & sand,loose,5.5,,Taupo Alluvium (pumice gravel & sand),,,,,,,
019B,2,silt,firm,4.5,,firm to stiff lake silts (Taupo alluvium),,,,,,,
019B,3,sand/silt,stiff,250,,Huka formation-effective bedrock in part,,,,,,,
019C,1,gravel & sand,loose,5.5,,Taupo Alluvium (pumice gravel & sand),,,,,,,
019C,2,silt,firm,4.5,,firm to stiff lake silts (Taupo alluvium),,,,,,,
019C,3,sand/silt,stiff,250,,Huka formation-effective bedrock in part,,,,,,,
019D,1,gravel & sand,loose,5.5,,Taupo Alluvium (pumice gravel & sand),,,,,,,
019D,2,silt,firm,4.5,,firm to stiff lake silts (Taupo alluvium),,,,,,,
019D,3,sand/silt,stiff,250,,Huka formation-effective bedrock in part,,,,,,,
020A,1,"silt, gravel",medium dense,7,5 to 10,,,,,,,,
020B,1,"silt, gravel",medium dense,7,5 to 10,,,,,,,,
021A,1,sandy silt,loose,5,?,pumiceous,,,,,,107,1-5m
021A,2,sandy gravel & silt ,medium dense,200,?,(Hinuera Formation),,,,,,129,5 to 6.3m
022A,1,,,0,,,,,,,,,
023A,1,,,0,,,,,,,,,
024A,1,sand,loose,5,?,,,,,,1 to 6,,
024A,2,"sands,silt,clay",soft,5,,"soft/ loose recent alluvial sands, silt, clay",,,,,4 to 9,,
024A,3,gravel - sands,medium dense,7,5-10 ?,medium dense to loose fluvial volcaniclastic sediments,,,,30,>,,
024A,4,sandy gravel,dense,100,?,"medium dense-very dense sandy gravel, Lahar deposits",,,,,,,
025A,1,clayey silts over gravels; some peat layers,firm,12,," soft/ medium dense Rapanui Fm",,,,,,78,1 - 9.5m
025A,2,,,,,,,,,,,182,9.5 - 10m
027A,1,silt & clay,soft,5,,,,,,,,,
027A,2,gravel & sand,medium dense,15,,loose to medium dense,,,,,,,
027A,3,"fine gravel, sand, silt, clay & shells",dense,30,,,,,,,,,
027A,4,"gravel, sand & clay",very dense,30,,,,,,,,,
027A,5,gravel,very dense,120,,,,,,,,,
027C,1,silt & clay,soft,5,,,,,,,,,
027C,2,gravel & sand,medium dense,15,,loose to medium dense,,,,,,,
027C,3,"fine gravel, sand, silt, clay & shells",dense,30,,,,,,,,,
027C,4,"gravel, sand & clay",very dense,30,,,,,,,,,
027C,5,gravel,very dense,120,,,,,,,,,
027D,1,silt & clay,soft,5,,,,,,,,,
027D,2,gravel & sand,medium dense,15,,loose to medium dense,,,,,,,
027D,3,"fine gravel, sand, silt, clay & shells",dense,30,,,,,,,,,
027D,4,"gravel, sand & clay",very dense,30,,,,,,,,,
027D,5,gravel,very dense,120,,,,,,,,,
027E,1,gravel,loose,10,?,loose to medium dense beach ridge gravel,,,,,,,
027E,2,sand / silty clay,firm,10,?,soft to firm marine sand / mud,,,,,,,
027E,3,gravel,,,,alluvial gravel / sand (if present),,,,,,,
027F,1,gravel,loose,10,?,loose to medium dense beach ridge gravel,,,,,,,
027F,2,sand / silty clay,firm,10,?,soft to firm marine sand / mud,,,,,,,
027F,3,gravel,,,,alluvial gravel / sand (if present),,,,,,,
027G,1,gravel,loose,10,?,loose to medium dense beach ridge gravel,,,,,,,
027G,2,sand / silty clay,firm,10,?,soft to firm marine sand / mud,,,,,,,
027G,3,gravel,,,,alluvial gravel / sand (if present),,,,,,,
028A,1,"sand, silt and gravel",medium dense,75,50 - 100,loose/soft to medium dense,,,,,,,
029A,1,sandy silt / silty sand,firm,7.5,,soft / loose,,,,,,226,1 - 5.5m
029A,2," alluvium",loose,1.5,,Taupo pumice,,,,,,148,5.5 - 8.5
029A,3,silt,firm,5.5,,firm to stiff,,,,,,218,8.5 - 11.7
029A,4,gravel,dense,24,,,,,,,,,
029A,5,gravel,very dense,960,c,older gravel etc.,,,,,,,
030A,1,"sand, silt and gravel",medium dense,75,50 - 100,loose/soft to medium dense,,,,,,,
031A,1,sand,medium dense,12,,loose-medium dense,,,,,27-60,,
031A,2,silt,firm,3,,soft-firm,,,,,14-43,,
031A,3,silty sand,dense,5,,,,,,,25-43,,
031A,4,silt,firm,5,,soft-stiff,,,,,17-50,,
031A,5,sand,dense,4,,,,,,,,,
031A,6,gravel,dense,6,,,,,,,,,
032A,1,sand/ gravel,medium dense,10,,Greywacke,,,,,,,
033A,1,gravel,medium dense,25,20 to 30,loose to dense (Woodville Alluvium),,,,,,,
033B,1,gravel,medium dense,25,20 to 30,loose to dense (Woodville Alluvium),,,,,,,
033C,1,gravel,medium dense,15,10 to 20,loose to dense (Woodville Alluvium),,,,,,,
033D,1,gravel,medium dense,15,10 to 20,loose to dense (Woodville Alluvium),,,,,,,
034A,1,silt/sand,soft,20,?,very soft to soft mudstone colluvium or slide debris,,,,,,,
035A,1,silt/sand,soft,20,?,very soft to soft mudstone colluvium or slide debris,,,,,,,60 (0-2m) 100 (2-10m) 300 (10-20m)
038A,1,sand,loose,10,< 10?,dune and beach sand,,,,,,,
039A,1,gravel & sand,medium dense,50,>,loose to dense post-glacial fluvial gravel & sand,,,,,,,
039A,2,gravel,very dense,50,>,glacial & inter-glacial outwash gravel,,,,,,,
039C,1,gravel & sand,medium dense,50,>,loose to dense post-glacial fluvial gravel & sand,,,,,,,
039C,2,gravel,very dense,50,>,glacial & inter-glacial outwash gravel,,,,,,,
039D,1,gravel & sand,medium dense,50,>,loose to dense post-glacial fluvial gravel & sand,,,,,,,
039D,2,gravel,very dense,50,>,glacial & inter-glacial outwash gravel,,,,,,,
039E,1,gravel & sand,medium dense,50,>,loose to dense post-glacial fluvial gravel & sand,,,,,,,
039E,2,gravel,very dense,50,>,glacial & inter-glacial outwash gravel,,,,,,,
040A,1,"sand, gravel",dense,7,5 to 10,loose - top 2m,,,,,,,
041A,1,loess/ sand/ gravel,loose,5,,soft /loose/ medium dense,,,,,,,
041A,2," gravel",very dense,10,,weathered Pleistocene ,,,,,,,
041A,3,sand(stone),very dense,,,Pleistocene ,,,,,,,
042A,1,silty topsoil sand & gravel,loose,10,," loose/ soft alluvium Holocene",,,,,10 to 30,,
042A,2,alluvium,medium dense,35,,dense with soft/ loose layers,,,,70,(10 in soft layers),,
042A,3,"gravel, sand",dense,12,,alluvium,,,,,75 - 150,,
043A,1,topsoil over alluvial gravel (bouldery),medium dense,10,,soft - medium dense,,,,,,,
043B,1,topsoil over alluvial gravel (bouldery),medium dense,10,,soft - medium dense,,,,,,,
044A,1,sand / silt,loose,2,,loose / soft,,,,,,75,2-4.5m
044A,2,gravel,loose,3,,,,,,,,110,4.5-6m
044A,3,silt / clay,firm,15,,soft to firm,,,,,,90,6-12.5m
044A,4,sand,medium dense,5,,,,,,,,125,12.5 - 18m
044A,5,,,,,,,,,,,240,18-20.5m
045A,1,gravel / sand / clay / silt,soft,3.1,,soft / loose,,,,,,,
045A,2,sandy clay & gravel,firm,2.7,,,,,,,,,
045A,3,silty clay & gravel,soft,1.8,,,,,,,,,
045A,4,sandy clay & gravel,medium dense,4,,,,,,,,,
045A,5,sandy clay & gravel & boulders,dense,40,,stiff / dense,,,,,,,
046A,1,silt over gravel,firm,2,,firm/ medium dense,,,,,,,
046A,2,"sand, silt, gravel",medium dense,28,,loose to medium dense,,,,,"15-30 to 8m, >30 below 8m",,
047A,1,sand & gravel,loose,3,?,alluvium,,,,,,,
048A,1,swamp / alluvial,loose,7,,soft / loose to medium dense,,,,,,,
048A,2,marine sands,medium dense,6,,,,,,,,,
048A,3,sand / gravel,medium dense ,24,,fluvial sand / gravel,,,,,,,
048A,4,"gravel, sand, silt",dense,26,,"glacial outwash gravel, sand, silt",,,,,,,
048A,5," gravel",very dense,300,?,Wairau (interglacial),,,,,,,
048A,6,,very dense,700,,Wairau conglomerate,,,,,,,
048B,1,swamp / alluvial,loose,7,,soft / loose to medium dense,,,,,,,
048B,2,marine sands,medium dense,6,,,,,,,,,
048B,3,sand / gravel,medium dense ,24,,fluvial sand / gravel,,,,,,,
048B,4,"gravel, sand, silt",dense,26,,"glacial outwash gravel, sand, silt",,,,,,,
048B,5," gravel",very dense,300,?,Wairau (interglacial),,,,,,,
048B,6,,very dense,700,,Wairau conglomerate,,,,,,,
048C,1,swamp / alluvial,loose,7,,soft / loose to medium dense,,,,,,,
048C,2,marine sands,medium dense,6,,,,,,,,,
048C,3,sand / gravel,medium dense ,24,,fluvial sand / gravel,,,,,,,
048C,4,"gravel, sand, silt",dense,26,,"glacial outwash gravel, sand, silt",,,,,,,
048C,5," gravel",very dense,300,?,Wairau (interglacial),,,,,,,
048C,6,,very dense,700,,Wairau conglomerate,,,,,,,
048D,1,swamp / alluvial,loose,7,,soft / loose to medium dense,,,,,,,
048D,2,marine sands,medium dense,6,,,,,,,,,
048D,3,sand / gravel,medium dense ,24,,fluvial sand / gravel,,,,,,,
048D,4,"gravel, sand, silt",dense,26,,"glacial outwash gravel, sand, silt",,,,,,,
048D,5," gravel",very dense,300,?,Wairau (interglacial),,,,,,,
048D,6,,very dense,700,,Wairau conglomerate,,,,,,,
049A,1,sandy coarse gravel,medium dense,20,?,"loose to dense alluvium, scree",,,,,,,
050A,1,sand/silt-gravel,medium dense,50,?,loose/soft to medium dense alluvium/ swamp/ sand,,,,,,,
050A,2,gravel,very dense,250,?,Moutere gravel,,,,,,,
050A,3,mudstone,hard,300,?,Tertiary mudstone - effective bedrock,,,,,,,
051A,1,silt/clay & peat,soft,5,3-6,,,,,,,,
051A,2,gravel & sand,dense,100,>,dense to very dense river gravel & sand,,,,,,,
051B,1,silt/clay & peat,soft,5,3-6,,,,,,,,
051B,2,gravel & sand,dense,100,>,dense to very dense river gravel & sand,,,,,,,
051C,1,silt/clay & peat,soft,5,3-6,,,,,,,,
051C,2,gravel & sand,dense,100,>,dense to very dense river gravel & sand,,,,,,,
051D,1,silt/clay & peat,soft,5,3-6,,,,,,,,
051D,2,gravel & sand,dense,100,>,dense to very dense river gravel & sand,,,,,,,
052A,1,gravel & sand,medium dense,30,,Glacial outwash gravel,,,,,,,
053A,1,"gravel, silt",medium dense,20,?,"loose-dense little-weathered till, glacial outwash gravel (Speargrass Fm)",,,,,,,
054A,1,"sand, silt, swamp deposits",loose,,?,loose / very soft,,,,,,,
054A,2,alluvium,medium dense,200,>,loose to dense,,,,,,,
055A,1,sandy gravel,medium dense,40,?,alluvial loose- dense,,,,,,,
056A,1,gravel,stiff,5,,weathered ,,,,,,,
057A,1,sand & silt,medium dense,3,," medium dense/ firm estuarine sand & silt",,,,,,,
057A,2," gravel",medium dense,50,>,fluvial,,,,,,,
057A,3,gravel,dense,30,,"cemented ""old man"" ",,,,,,,
057B,1,sand & silt,medium dense,3,," medium dense/ firm estuarine sand & silt",,,,,,,
057B,2," gravel",medium dense,50,>,fluvial,,,,,,,
057B,3,gravel,dense,30,,"cemented ""old man"" ",,,,,,,
057C,1,sand & silt,medium dense,3,," medium dense/ firm estuarine sand & silt",,,,,,,
057C,2," gravel",medium dense,50,>,fluvial,,,,,,,
057C,3,gravel,dense,30,,"cemented ""old man"" ",,,,,,,
058A,1,gravel & sand,medium dense,20,,Glacial outwash gravel,,,,,,,
059A,1,,,0,,,,,,,,,
060A,1,clay,firm,8,,soft - firm,,,,,,,
060A,2,gravel & clay and gravel,medium dense,7,,medium dense /stiff,,,,,,,
060B,1,clay,firm,8,,soft - firm,,,,,,,
060B,2,gravel & clay and gravel,medium dense,7,,medium dense /stiff,,,,,,,
060C,1,clay,firm,8,,soft - firm,,,,,,,
060C,2,gravel & clay and gravel,medium dense,7,,medium dense /stiff,,,,,,,
061A,1,,,0,,,,,,,,,
061B,1,"gravel, sand & silt",stiff,10,,soft-stiff/ medium dense fluvial ,,,,,,,
061C,1,,,0,,,,,,,,,
062A,1,gravel,dense,150,?,marine outwash,,,,,,,
063A,1,,,0,,,,,,,,,
064A,1,"gravel, sand",loose,30,,avalanche debris,,,,,,,
064A,2,gravel,medium dense,300,,loose to dense fan and outwash gravel,,,,,,,
066A,1,sand/ gravel,dense,50,40-200?,fan alluvium and moraine,,,,,,,
066B,1,sand/ gravel,dense,50,40-200?,fan alluvium and moraine,,,,,,,
067A,1,,,0,,,,,,,,,
067B,1,,,0,,,,,,,,,
068B,1,sand/ gravel,loose,3,<?," loose - medium dense alluvium",,,,,,,
070A,1,sandy gravel,medium dense,30,,loose-medium dense post glacial sandy alluvium,,,,,20-60,,
070A,2,gravel,dense,170,,"dense-very dense moraine, till, outwash gravel",,,,,,100,>?
073A,1,"layered silt, clay & gravel",medium dense,7,?,loose to dense,,,,,,,
074A,1,fill & silt /clay over gravel,firm,8,,soft - medium dense,,,,,,,
077A,1,silty topsoil over sandy gravel,medium dense,20,2m topsoil?," soft/ dense (Pleistocene alluvium)",,,,,,,
077B,1,silty topsoil over sandy gravel,medium dense,20,2m topsoil?," soft/ dense (Pleistocene alluvium)",,,,,,,
078A,1,sand,loose,10,?,dune & beach,,,,,,,
078A,2,silts & clays,soft,30,?,swamp / marine & esturine deposits,,,,,,,
078A,3,gravel,dense,60,?,alluvium / outwash gravel,,,,,,,
079A,1,"sand, silt, gravel",dense,2,,terrace alluvium,,,,,,,
080A,1,sand/ gravel,loose,40,<?," loose - medium dense alluvium",,,,,,,
080B,1,sand/ gravel,loose,40,<?," loose - medium dense alluvium",,,,,,,
081A,1,"sand,gravel",dense,300,,"loose- very dense Pumice alluvium and glowing avalanche deposits, including swamp deposits",,,,,,,
081B,1,"sand,gravel",dense,300,,"loose- very dense Pumice alluvium and glowing avalanche deposits, including swamp deposits",,,,,,,
081C,1,"sand,gravel",dense,300,,"loose- very dense Pumice alluvium and glowing avalanche deposits, including swamp deposits",,,,,,,
082A,1,"sand,gravel, peat",medium dense,40,?,"very soft/ loose-dense/ stiff dune sand, alluvium, marine & swamp deposits",,,,,,,
083A,1,,,0,,,,,,,,,
084A,1,,,0,,,,,,,,,
085D,1,"gravel, sand, silt, clay",medium dense,15,?,"loose-dense alluvial gravel, sand, silt, clay",,,,,,,
085D,2,"tuff, siltstone, sandstone, gravel",very stiff,,?,"Luke's Farm Beds (tuff, siltstone, sandstone, conglomerate) effective bedrock",,,,,,,
085M,1,"gravel, sand, silt, clay",medium dense,15,?,"loose-dense alluvial gravel, sand, silt, clay",,,,,,,
085M,2,"tuff, siltstone, sandstone, gravel",very stiff,,?,"Luke's Farm Beds (tuff, siltstone, sandstone, conglomerate) effective bedrock",,,,,,,
085N,1,"gravel, sand, silt, clay",medium dense,15,?,"loose-dense alluvial gravel, sand, silt, clay",,,,,,,
085N,2,"tuff, siltstone, sandstone, gravel",very stiff,,?,"Luke's Farm Beds (tuff, siltstone, sandstone, conglomerate) effective bedrock",,,,,,,
086A,1,sand / silt ,soft,2,?,(Pliocene),,,,,,,
086B,1,sand ,dense,,?,fixed dune sand,,,,,,,
087A,1,,,0,,,,,,,,,
087B,1,,,0,,,,,,,,,
087C,1,"sandy silt, clay, pumice",very soft,20,,"loose, very soft",,,,,,,
087C,2,"gravel, silt, clay",medium dense,10,,,,,,,,,
087D,1,,,0,,,,,,,,,
088A,1,"sand, silt, gravel",dense,2,,terrace alluvium,,,,,,,
089A,1,gravel,dense,300,?,dense-very dense moraine outwash gravel,,,,,,,
090A,1,gravel with sand beds,medium dense,10,,fluvial,,,,,,,
091A,1,,,0,,,,,,,,,
091B,1,,,0,,,,,,,,,
091C,1,,,0,,,,,,,,,
092A,1,silt over gravel,loose,5,,soft/ loose-medium dense,,,,,,,
093A,1,gravel,dense,100,?,"mainly dense to very dense alluvium/ glacial outwash, moraine",,,,,,,
094A,1,,,0,,,,,,,,,
095B,1,,,0,,,,,,,,,
096A,1,slit/ clay,firm,10,,soft - stiff fluvial ,,,,,,,"130 - 185, 1-10m"
096A,2,clay,stiff,15,,"soft-stiff esturaine clay, with wood & vegetation",,,,,,138,10-21
096A,3,silt & gravel,,75,,fluvial ,,,,,,247,21-28
097A,1,"silt over gravel, sand",medium dense,20,,loose to medium dense river gravel,,,,,,,
098A,1,silt/ gravel,medium dense,45,,loose-medium dense Holocene fluviatile floodplain alluvium,,,,,,,
098A,2,"gravel, sand, silt",dense ,400,,"Pleistocene high terrace gravel, sand, silt (effective bedrock?)",,,,,,,
098A,3,"sand, silt & limestone",dense,400,,"marine sand, silt & limestone",,,,,,,
098A,4,sandy mudstones,hard,760,,marine calcareous sandy mudstones,,,,,,,
099A,1,mud & sand,soft ,20,>,very soft to soft estuarine mud & sand,,,,,,,
099B,1,mud & sand,soft ,20,>,very soft to soft estuarine mud & sand,,,,,,,
100A,1,"sand,gravel, peat",medium dense,50,?,"very soft/ loose-dense/ stiff dune sand, alluvium, marine & swamp deposits",,,,,,,
100B,1,"sand,gravel, peat",medium dense,50,?,"very soft/ loose-dense/ stiff dune sand, alluvium, marine & swamp deposits",,,,,,,
102A,1,clay & fine gravel,loose,9,,v.soft/ loose,,,,,,,
102A,2,clay & fine gravel,medium dense,3,,firm/ dense,,,,,,,
103A,1,"silt over gravel, sand",medium dense,20,,loose to medium dense river gravel,,,,,,,
103B,1,"silt over gravel, sand",medium dense,20,,loose to medium dense river gravel,,,,,,,
104A,1,gravel ,dense,20,,glacial outwash(Tophouse Formation),,,,,,,
104A,2,gravel,dense,400,,glacial outwash (Moutere Gravel),,,,,,,
105A,1,sand,medium dense,32,20-45,loose to medium dense,,,,,,,150-340 at top to 1370-1740 (P)
106A,1,sandy silty gravel ,medium dense,100,,medium dense to dense (Opua Fm - andesitic breccia),,,,,,,
106A,2,"gravel, sand",very dense,250,,older Lahars,,,,,,,
107A,1,sand & gravel,dense,3,,river sand,,,,,,,
108A,1,,,0,,,,,,,,,
110C,1,clayey silt over gravel,firm,5,,firm/ dense alluvial gravel,,,,,,,
111A,1,"tephra, pumice, breccia etc",medium dense,10,?,loose / soft to very stiff / dense,,,,,,,
111B,1,"tephra, pumice, breccia etc",medium dense,10,?,loose / soft to very stiff / dense,,,,,,,
112A,1,gravel,medium dense,60,,fluvio-glacial outwash,,,,,,,
112B,1,gravel,medium dense,60,,fluvio-glacial outwash,,,,,,,
113A,1,sand silt gravel,loose,10,?," loose to medium dense alluvium/ beach deposits",,,,,,,
114A,1,"coarse gravel, boulders & sand",medium dense,95,,loose - dense,,,,,,,
114A,2,"gravel, sand",dense ,100,,"conglomerate, marine/dune sand (effective bedrock)",,,,,,,
114A,3,"sand, gravel, siltstone",dense,450,,marine sand/ conglomerate,,,,,,,
114A,4,"sand, siltstone, limestone, lignite",hard,2200,,marine sand,,,,,,,
114A,5,"mudstone siltstone, sand",very dense,500,,,,,,,,,
114B,1,"coarse gravel, boulders & sand",medium dense,95,,loose - dense,,,,,,,
114B,2,"gravel, sand",dense ,100,,"conglomerate, marine/dune sand (effective bedrock)",,,,,,,
114B,3,"sand, gravel, siltstone",dense,450,,marine sand/ conglomerate,,,,,,,
114B,4,"sand, siltstone, limestone, lignite",hard,2200,,marine sand,,,,,,,
114B,5,"mudstone siltstone, sand",very dense,500,,,,,,,,,
114C,1,"coarse gravel, boulders & sand",medium dense,95,,loose - dense,,,,,,,
114C,2,"gravel, sand",dense ,100,,"conglomerate, marine/dune sand (effective bedrock)",,,,,,,
114C,3,"sand, gravel, siltstone",dense,450,,marine sand/ conglomerate,,,,,,,
114C,4,"sand, siltstone, limestone, lignite",hard,2200,,marine sand,,,,,,,
114C,5,"mudstone siltstone, sand",very dense,500,,,,,,,,,
115A,1,,,0,,,,,,,,,
116A,1,"gravel, sand, clay",medium dense,10,,loose to medium dense fluvial gravel,,,,,,,
116A,2,"gravel, sand",dense,30,,"fluvial gravel, sand, clay-bound gravel",,,,,,,
116A,3,"clay, peat & gravel",,50,,,,,,,,,
116A,4,"gravel, sand",dense,210,?,fluvial ,,,,,,,
117A,1,slity sand and clay,loose,18,?,"loose/ soft pumice alluvium, pumice with mud",,,,,,,
117A,2,sandstone & mudstone,stiff,42,,"soft to very stiff, partly cemented Huka Group sandstone & mudstone",,,,,,,
117B,1,slity sand and clay,loose,18,?,"loose/ soft pumice alluvium, pumice with mud",,,,,,,
117B,2,sandstone & mudstone,stiff,42,,"soft to very stiff, partly cemented Huka Group sandstone & mudstone",,,,,,,
118A,1,,,0,,,,,,,,,
118B,1,sandy gravel ,dense,40,>?,(outwash) Albert Town Fm,,,,,,,
119A,1,sands & gravels,medium dense,,?,"fluviate pumice, rhyolite & ignimbrite sands & gravels (Hinuera Fm)",,,,,,,
120A,1,clayey gravel,medium dense,10,,"gravel, claybound gravel, clay",,,,,,,
120A,2,clay,stiff,6,,,,,,,,,
120A,3,gravel with some clay,dense,14,,,,,,,,,
120A,4,"peat, clay, gravel",dense,70,?,"stiff/ dense peat, clay, gravel, claybound gravel",,,,,,,
120B,1,clayey gravel,medium dense,10,,"gravel, claybound gravel, clay",,,,,,,
120B,2,clay,stiff,6,,,,,,,,,
120B,3,gravel with some clay,dense,14,,,,,,,,,
120B,4,"peat, clay, gravel",dense,70,?,"stiff/ dense peat, clay, gravel, claybound gravel",,,,,,,
120C,1,clayey gravel,medium dense,10,,"gravel, claybound gravel, clay",,,,,,,
120C,2,clay,stiff,6,,,,,,,,,
120C,3,gravel with some clay,dense,14,,,,,,,,,
120C,4,"peat, clay, gravel",dense,70,?,"stiff/ dense peat, clay, gravel, claybound gravel",,,,,,,
121A,1,,,0,,,,,,,,,
122A,1,gravel & sand,medium dense,10,,loose to dense glacial outwash gravel & sand,,,,,,,
122A,2,"silt, sand & gravel",dense,80,,"firm/ dense glacial lake silt, sand & gravel",,,,,,,
122A,3,gravel,dense,160,,glacial outwash gravel,,,,,,,
123A,1,gravel,medium dense,10,,loose to medium dense alluvial gravel,,2.1,,,refusal,120,
124A,1,,,0,,,,,,,,,
124B,1,compact gravel,,5,?,,,,,,,,
125A,1,,,0,,,,,,,,,
125D,1,gravel,dense,22.5,,,,,,,,,
126C,1,silt,firm,10,,firm to stiff,,,,,,,
126C,2,gravel,dense,30,,ice contact gravel,,,,,,,
126C,3,gravel,dense,100,,Mt John outwash gravel,,,,,,,
126C,4," gravel",dense,300,,older gravel,,,,,,,
127A,1,,,0,,,,,,,,,
128A,1,sand-silt,firm,1,?,,,,,,,,
129A,1,"sand, gravel",loose,3,?,Holocene alluvium,,,,,,,
129A,2,silt/ sand,stiff,5,?,stiff/ dense Murchison Lake Beds,,,,,,,
129A,3,gravel,dense,200,?,glacial outwash gravel,,,,,,,
130A,1,gravels ,dense,100,?,Speargrass Fm,,,,,,,
130A,3,gravel,,,,weathered outwash gravel (Harry Fm),,,,,,,
130B,1,gravels ,dense,100,?,Speargrass Fm,,,,,,,
130B,3,gravel,,,,weathered outwash gravel (Harry Fm),,,,,,,
131A,1,sand,very loose,5,?,dune sand,,,,,,,
131A,2,sand-silt/ gravel,medium dense,45,?,medium dense to dense alluvium,,,,,,,
132A,1,clayey gravel,loose,1,<,soft / loose,,,,,,,
132A,2,sandy silty gravel,medium dense,7,,firm/ loose to medium dense Holocene sandy silty gravel,,,,23,,,
132A,3,weathered silty clay ,stiff,12.5,,Pleistocene weathered clay alluvium,,,,32,>,,
134A,1,"sand, gravel, peat ",loose,10,," loose/ soft (Hinuera Fm)",,,,,,,
134A,2,"sand, gravel, peat ",medium dense,30,,medium dense/ firm? (Hinuera Fm),,,,,,,
134A,3,"ash, sand / silt ",medium dense,140,,"firm to stiff/ medium dense to dense ash, sand / silt / grit (Walton subgroup)",,,,,,,
134A,4,,dense,270,,older sediments (Frankton subgroup) (effective bedrock?),,,,,,,
200A,1,,,0,,,,,,,,,
201A,1,silt with gravel,soft,5,,soft/ loose alluvial silt with gravel,,,,,,,
201A,2,silt/clay,soft,12,10-15,very soft-soft estuarine mud with some shingle and basalt blocks,,,,,,,
201B,1,silt with gravel,soft,5,,soft/ loose alluvial silt with gravel,,,,,,,
201B,2,silt/clay,soft,12,,very soft-soft estuarine mud with some shingle and basalt blocks,,,,,,,
202A,1,sand-silt,firm,4,?,topsoil and colluvium,,,,,,,
203A,1,sand/ gravel,medium dense,5,?,recent & Pleistocene alluvium,,,,,,,
203B,1,sand/ gravel,medium dense,5,?,recent & Pleistocene alluvium,,,,,,,
204A,1,reclamation rubble/silt etc,loose,4.5,,very soft / loose,,,,,,,
204A,2,"estuarine, sediments, silt / sand",very soft,2,,very soft / loose,,,,,,,
205A,1,tuff/ lapilli,soft,7.5,,soft/ loose,,,,,,,
206A,1,,,0,,,,,,,,,
207A,1,pumice silt / sand / clay,soft,5,?,loose / soft,,,,,,,
208A,1,pumiceous silts ,firm,10,?,very soft to stiff Puketoka Fm ,,,,,,,
209A,1,sand & gravel,loose,20,?,loose to medium dense,,,,,,,
209A,2,sand & gravel,very dense,100,?,Older sand & gravel,,,,,,,
209B,1,sand & gravel,loose,20,?,loose to medium dense,,,,,,,
209B,2,sand & gravel,very dense,100,?,older sand & gravel,,,,,,,
210A,1,"sand, gravel ",medium dense,90,?,medium dense-dense (Pleistocene alluvium),,,,,,,
211A,1,"sand,gravel",medium dense,80,60-100,"loose-medium dense ignimbrite, pumice breccia etc (Whitianga Group)",,,,,,,
212A,1,volcanic ash over sand/ gravel.,stiff,120,soft/loose top 20m.,(Tauranga Group),,,,,,,
213A,1,"sand, some peat ",loose,10,,(Hinuera Fm),,,,,,,
213A,2,"ash over silt, sand, gravel ",dense,125,c. 6m of ash,medium dense to very dense (Walton Sequence),,,,,,,
213A,3,,dense,275,,Frankton Se. + older sediments,,,,,,,
214A,1,"sand, silt and gravel",medium dense,75,50 - 100,loose/soft to medium dense,,,,,,,
214B,1,"sand, silt and gravel",medium dense,75,50 - 100,loose/soft to medium dense,,,,,,,
215A,1,"sand, silt, gravel ",medium dense,50,,soft/ medium dense (Huka Group sediments) (sinter cemented),,,,,,,
215B,1,"sand, silt, gravel ",medium dense,50,,soft/ medium dense (Huka Group),,,,,,,
215C,1,slity sand and clay,loose,18,?,"loose/ soft pumice alluvium, pumice with mud",,,,,,,
215C,2,sandstone & mudstone,stiff,42,,"soft to very stiff, partly cemented Huka Group sandstone & mudstone",,,,,,,
