Station,Layer,", Material  (Description)",", Overburden (Strength)",", Thickness ((m))",", Thickness (Notes)",", Notes ()",", References ()",", Bulk Dens ((t/m3))",", Bulk Dens (Notes)",", SPT(N) ()",", SPT(N) (Notes)",", Vs ((m/s))",", Vs (Notes)"
KAPS,2,muddy sandstone & siltstone,hard,500,?,Waitemata Flysch,,,,,,,
KARS,1,silt/ sand/ gravel,loose,20,>,"soft - loose alluvium, low level terrace deposits, coastal beach",,,,,,,
KFHS,1,"siltstone, mudstone",dense,10,?,terrace alluvium ,,,,,,,
KHZ,1,,,0,,,,,,,,,
KIKS,1,,,0,,,,,,,,,
KIRS,1,silt/ sand/ gravel,stiff,3,<?,slope  debris,,,,,,,
KIRS,2,Fan gravels,dense,10,?,,,,,,,,
KLDS,1,gravel ,dense,20,,glacial outwash (Tophouse Formation),,,,,,,
KLDS,2,gravel,dense,400,,glacial outwash (Moutere Gravel),,,,,,,
KNZ,1,silt ,stiff,,?,,,,,,,,
KOKS,1,gravel,dense,200,,outwash gravel /moraine,,,,,,,
KOWC,1,sand - silt/ gravel,medium dense,,?,loess (0.7m) over fluvioglacial outwash gravel (Burnham Fm),,,,,,,
KPOC,1,"sand, silt",medium dense,15,?,dune sand,,,,,,,
KPOC,2,"gravel, sand & silt",medium dense,50,?,"post-glacial fluviatile gravel, sand & silt (Springston Fm)",,,,,,,
KUZ,1,,,0,,,,,,,,,
LBZ,1,,,0,,,,,,,,,
LHES,1,"clay, gravel, sand ",firm,10,,"firm to stiff clay,medium dense gravel, sand (Hutt alluvium)",,,,,,,
LHES,2,gravel,medium dense,40,,medium dense-dense artesian gravels (Waiwhetu gravel),,,,,,,
LHES,3,gravel,dense,230,,dense to very dense? Moera basal gravels,,,,,,,
LHRS,1,,,0,,,,,,,,,
LHUS,1,"clay, gravel, sand ",soft,,?,loose /soft (There has been a stream channel here in historic times),,,,,,,
LHUS,2,"sand, silt, shells, clay ",very soft,10,,"loose/ very soft sand, silt, shells, clay (Hutt alluvium)",,,,,,175,
LHUS,3,silty clay ,firm,10,,soft to stiff blue silty clay (Petone marine),,,,,,175,
LHUS,4,gravel,dense,35,>,Waiwhetu gravel,,,,,,,
LHUS,5,sands/silts,stiff,15,,Wilford marine,,,,,,,
LHUS,6,gravel,dense,125,100-150,Moera basal gravels,,,,,,,
LINC,1,"gravel, sand, silt.",medium dense,,?,fluvial gravel from degradation of older gravels (Springston Fm),,,,,,,
LMZ,1,,,0,,,,,,,,,
LPCC,1,fill/ loess,,,?,,,,,,,,
LPLS,1,sand/ gravel,dense,50,40-200?,fan alluvium and moraine,,,,,,,
LRSC,1,silt /gravel,medium dense,,?,silt (0.3m) over greywacke gravels,,,,,,,
LSRC,1,silt /gravel,medium dense,,?,silt/ loess (1.3m)/ gravel & sand (Tertairy deposits),,,,,,,
LTZ,1,,,0,,,,,,,,,
MAGS,1,volcanic ash over alternating sandstone and siltstone,firm,,?,firm/ stiff,,,,,,,
MANS,1,,,0,,,,,,,,,
MAVS,1,silt/ gravel,medium dense,45,,loose-medium dense Holocene fluviatile floodplain alluvium,,,,,,,
MAVS,2,"gravel, sand, silt",dense,400,,"Pleistocene high terrace gravel, sand, silt (effective bedrock?)",,,,,,,
MAVS,3,"sand, silt & limestone",dense,400,,"marine sand, silt & limestone",,,,,,,
MAVS,4,sandy mudstones,hard,760,,marine calcareous sandy mudstones,,,,,,,
MAYC,1,clayey silt / gravel,medium dense,,?,silt (0.4m) over greywacke alluvium,,,,,,,
MCAS,1,"sand, gravel",loose,3,?,Holocene alluvium,,,,,,,
MCAS,2,silt/ sand,stiff,5,?,stiff/ dense Murchison Lake Beds,,,,,,,
MCAS,3,gravel,dense,200,?,glacial outwash gravel,,,,,,,
MCPS,1,"gravel, sand",loose,30,,avalanche debris,,,,,,,
MCPS,2,gravel,medium dense,300,,loose to dense fan and outwash gravel,,,,,,,
MECS,1,"sand, gravel & silt",loose,,?,loose/ firm. From present river flood plains.,,,,,,,
MGCS,1,topsoil over gravel with clay layers,medium dense,12,,stiff/ medium dense Rapaura Fm,,,,,,,
MGCS,2,gravels ,dense ,20,plus,Speargrass Fm,,,,,,,
MISS,1,"sand, silt, shells",loose,12,,"beach and sand dunes (sand, silt, shells)",,1.9,,,,200,
MISS,2,"sand, silt",soft ,8.6,,"soft to firm beach + lagoon (sand, silt wood fragments, shells)",,,2.06 - 2.17,,,200,
MISS,3,silty sand/ silty clay & peat,firm,39,,"soft to stiff peat, alluvium, colluvium",,,1.88 - 2.17,,,,195 & 500 (av 200-300)
MLZ,1,,,0,,,,,,,,,
MMCS,1,sandy silt,stiff,3,,white pumiceous sandy silt,,,,,,,
MMCS,2,"sand,gravel, peat",medium dense,50,,"loose to dense pumice sand, gravel, peat (Hinuera Fm.)",,,,,,,
MMCS,3,gravel/ sand,dense ,,,"ignimbrite, alluvium",,,,,,,
MNG,1,,,0,,,,,,,,,
MNGS,1,sandy silt over gravelly sand,medium dense,3,,,,,,,,,
MNGS,2,mudstone,hard,20,>?,,,,,,,,
MOA,1,,,0,,,,,,,,,
MOLS,1,sandy gravel- gravel,medium dense,5,?,glacial outwash gravel,,,,,,,
MOSS,1,gravel,dense,40,?,loose-very dense glacial outwash gravel,,,,,,,
MOTS,1,sand/silt-gravel,medium dense,50,?,loose/soft to medium dense alluvium/ swamp/ sand,,,,,,,
MOTS,2,gravel,very dense,250,?,Moutere gravel,,,,,,,
MOTS,3,mudstone,hard,300,?,Tertiary mudstone - effective bedrock,,,,,,,
MQZ,1,,,0,,,,,,,,,
MRZ,1,,,0,,,,,,,,,
MSMC,1,silt /gravel,firm,,?,silt (0.9m) over greywacke gravels & alluvium,,,,,,,
MSZ,1,,,0,,,,,,,,,
MSZS,1,sand/ gravel,loose,3,<?," loose - medium dense alluvium",,,,,,,
MWDS,1,,,0,,,,,,,,,
MWFS,1,pumice breccia,medium dense,,?,Rotoiti Breccia,,,,,,,
MWZ,1,,,0,,,,,,,,,
NAMS,1,gravel,loose,10,?,loose to medium dense beach ridge gravel,,,,,,,
NAMS,2,sand / silty clay,firm,10,?,soft to firm marine sand / mud,,,,,,,
NAMS,3,gravel,,,,alluvial gravel / sand (if present),,,,,,,
NCBS,1,silt over gravel,firm,2,,firm/ medium dense,,,,,,,
NCBS,2,"sand, silt, gravel",medium dense,28,,loose to medium dense,,,,,"15-30 to 8m, >30 below 8m",,
NCDS,1,"sand, silt",very soft,200,?,"very soft/ very loose marine sand, silt & swamp deposits",,,,,,,95-194
