Make,Model,Serial Number,Asset Number,Notes
Guralp,CMG-3ESP,T3E73,9292,
Guralp,CMG-3ESP,T3E84,9289,
Guralp,CMG-3ESP,T3E85,9295,
Guralp,CMG-3ESP,T3E86,9294,
Guralp,CMG-3ESP,T3E87,9290,
Guralp,CMG-3ESP,T3G61,9643,
Guralp,CMG-3ESP,T3G67,9640,
Guralp,CMG-3ESP,T3G68,9638,
Guralp,CMG-3ESP,T3G69,9637,
Guralp,CMG-3ESP,T3G70,9636,
Guralp,CMG-3ESP,T3G71,9641,
Guralp,CMG-3ESP,T3G77,9639,
Guralp,CMG-3ESP,T3G78,9642,
Guralp,CMG-3ESP,T3G79,9635,
Guralp,CMG-3ESP,T3G80,9634,
Guralp,CMG-3ESP,T3P64,10717,
Guralp,CMG-3ESP,T3P66,10715,
Guralp,CMG-3ESP,T3P67,10718,
Guralp,CMG-3ESP,T3P68,10712,
Guralp,CMG-3ESP,T3P69,10710,
Guralp,CMG-3ESP,T3P70,10714,
Guralp,CMG-3ESP,T3P74,10716,
Guralp,CMG-3ESP,T3Q00,10722,
Guralp,CMG-3ESP-Z,T3738,,burried in a cave
Guralp,CMG-3ESPC,T35856,13678,
Guralp,CMG-3ESPC,T35861,13679,
Guralp,CMG-3ESPC,T35862,,
Guralp,CMG-3ESPC,T35863,,
Guralp,CMG-3ESPC,T35864,,
Guralp,CMG-3ESPC,T35865,14109,
Guralp,CMG-3ESPC,T35867,13680,
Guralp,CMG-3ESPC,T36193,13904,
Guralp,CMG-3ESPC,T36194,13901,
Guralp,CMG-3ESPC,T36195,13903,
Guralp,CMG-3ESPC,T36196,13905,
Guralp,CMG-3ESPC,T36197,13902,
Guralp,CMG-3ESPC,T36911,14555,
Guralp,CMG-3ESPC,T36912,14556,
Guralp,CMG-3ESPC,T36913,14557,
Guralp,CMG-3ESPC,T36914,14558,
Guralp,CMG-3ESPC,T36915,14559,
Guralp,CMG-3ESPC,T38497,15769,
Guralp,CMG-3ESPC,T38498,15770,
Guralp,CMG-3ESPC,T38573,15869,
Guralp,CMG-3ESPC,T38574,15870,
Guralp,CMG-3ESPC,T3Y92,10724,
Guralp,CMG-3T,T313,,
Guralp,CMG-3T,T314,,
Guralp,CMG-3T,T329,,
Guralp,CMG-3T,T330,,
Guralp,CMG-3T,T331,,
Guralp,CMG-3T,T332,,
Guralp,CMG-3T,T333,,
Guralp,CMG-3T,T3429,,
Guralp,CMG-3T,T3433,,
Guralp,CMG-3T,T3434,,
Guralp,CMG-3T,T3522,,
Guralp,CMG-3T,T3527,,
Guralp,CMG-3T,T3528,,
Guralp,CMG-3T,T3571,,
Guralp,CMG-3T,T3941,,
Guralp,CMG-3T,T5345,,
Guralp,CMG-3TB,T3969,,
Guralp,CMG-3TB,T3A41,,
Guralp,CMG-3TB,T3A63,,
Guralp,CMG-3TB-GN,T35920,13347,
Guralp,CMG-3TB-GN,T36438,14102,
Guralp,CMG-3TD,T3A19,,
Guralp,CMG-40T-30S,BTPT_ANTARCTICA,,
Guralp,CMG-40T-30S,FWVZ_G30,,
Guralp,CMG-40T-30S,LCHD_ANTARCTICA,,
Guralp,CMG-40T-30S,T4157,,
Guralp,CMG-40T-30S,T4280,,
Guralp,CMG-40T-30S,T4390,,
Guralp,CMG-40T-30S,T4488,,
Guralp,CMG-40T-30S,T4581,,
Guralp,CMG-40T-30S,T4661,,
Guralp,CMG-40T-30S,T4664,,
Guralp,CMG-40T-30S,T4665,,
Guralp,CMG-40T-30S,T4666,,
Guralp,CMG-40T-30S,T4675,,
Guralp,CMG-40T-30S,T4M14,10802,
Guralp,CMG-40T-30S,T4M18,10803,
Guralp,CMG-40T-30S,T4M19,10808,
Guralp,CMG-40T-30S,T4M59,10806,
Guralp,CMG-40T-30S,T4M60,10801,
Guralp,CMG-40T-30S,T4M61,10807,
Guralp,CMG-40T-30S,T4M62,10799,
Guralp,CMG-40T-30S,T4M63,10800,
Guralp,CMG-40T-30S,T4M64,10805,
Guralp,CMG-40T-30S,T4M65,10804,
Guralp,CMG-40T-30S,TMP_6044,,
Guralp,CMG-40T-30S,TMP_6045,,
Guralp,CMG-40T-30S,TMP_6046,,
Guralp,CMG-40T-60S,MED3_40T,,
Guralp,CMG-40T-60S,MED4_40T,,
Guralp,CMG-40T-60S,RF7_40T,,
Guralp,CMG-40T-60S,T41027,,
Guralp,CMG-40T-60S,T41037,,
Guralp,CMG-40T-60S,T41038,,
Guralp,CMG-40T-60S,T41040,,
Guralp,CMG-40T-60S,T41044,10867,
Guralp,CMG-40T-60S,T41075,,
Guralp,CMG-40T-60S,T41076,,
Guralp,CMG-40T-60S,T41077,,
Guralp,CMG-40T-60S,T4604,,
Guralp,CMG-40T-60S,T4605,,
Guralp,CMG-40T-60S,T4634,10869,
Guralp,CMG-40T-60S,T4636,,
Guralp,CMG-40T-60S,T4788,10870,
Guralp,CMG-40T-60S,T4802,10868,
Guralp,CMG-40T-60S,T4803,10866,
Guralp,CMG-40T-60S,T4C49,,
Guralp,CMG-40TD,T41081,,
Guralp,CMG-40TD,T4430,,
Guralp,CMG-40TD,T4432,,
Guralp,CMG-40TD,T4811,,
Guralp,CMG-40TD,T4818,,
Guralp,CMG-6T,T6262,,
Guralp,CMG-6T,T6263,,
Guralp,CMG-6T,T6264,,
Guralp,CMG-6T,T6265,,
Guralp,CMG-6TD - with digitiser,T6641,,
Hydrological Services,HS55 Bubbler WL100D,07-01,10974,
IESE,IESE HS-1-LT 2Hz,106,,
IESE,IESE HS-1-LT Mini 4.5Hz,197,,
