Make,Model,Serial,Number,Notes
Canterbury Seismic Instruments,CUSP-Me,3De20925,16631,
Canterbury Seismic Instruments,CUSP-Me,3De20926,16632,
Canterbury Seismic Instruments,CUSP-Me,3De20927,16633,
Canterbury Seismic Instruments,CUSP-Me,3De20928,16634,
Canterbury Seismic Instruments,CUSP-Me,3De20929,16635,
Canterbury Seismic Instruments,CUSP-Me,3De20930,16636,
Canterbury Seismic Instruments,CUSP-Me,3De20931,16637,
Canterbury Seismic Instruments,CUSP-Me,3De20932,16638,
Canterbury Seismic Instruments,CUSP-Me,3De20933,16639,
Canterbury Seismic Instruments,CUSP-Me,3De20934,16640,
Canterbury Seismic Instruments,CUSP-Me,3De20935,16641,
Canterbury Seismic Instruments,CUSP-Me,3De20936,16642,
Canterbury Seismic Instruments,CUSP-Me,3De20937,16643,
Canterbury Seismic Instruments,CUSP-Me,3De20938,16644,
Canterbury Seismic Instruments,CUSP-Me,3De20939,16645,
Canterbury Seismic Instruments,CUSP-Me,3De20940,16646,
Canterbury Seismic Instruments,CUSP-Me,Me-12001,14001,
Canterbury Seismic Instruments,CUSP-Me,Me-12002,14002,
Canterbury Seismic Instruments,CUSP-Me,Me-12003,14003,
Canterbury Seismic Instruments,CUSP-Me,Me-12006,14861,
Canterbury Seismic Instruments,CUSP-Me,Me-12009,14009,
Canterbury Seismic Instruments,CUSP-Me,Me-12010,14010,
Canterbury Seismic Instruments,CUSP-Me,Me-12017,14017,
Canterbury Seismic Instruments,CUSP-Me,Me-12018,14018,
Canterbury Seismic Instruments,CUSP-Me,Me-12019,14019,
Canterbury Seismic Instruments,CUSP-Me,Me-12020,14020,
Canterbury Seismic Instruments,CUSP-Me,Me-12021,14021,
Canterbury Seismic Instruments,CUSP-Me,Me-12022,14022,
Canterbury Seismic Instruments,CUSP-Me,Me-12023,14023,
Canterbury Seismic Instruments,CUSP-Me,Me-12024,14024,
Canterbury Seismic Instruments,CUSP-Me,Me-12025,14025,
Canterbury Seismic Instruments,CUSP-Me,Me-12026,14026,
Canterbury Seismic Instruments,CUSP-Me,Me-12027,14027,
Canterbury Seismic Instruments,CUSP-Me,Me-12028,14028,
Canterbury Seismic Instruments,CUSP-Me,Me-12029,14029,
Canterbury Seismic Instruments,CUSP-Me,Me-12030,14030,
Canterbury Seismic Instruments,CUSP-Me,Me-12031,14031,
Canterbury Seismic Instruments,CUSP-Me,Me-12032,14032,
Canterbury Seismic Instruments,CUSP-Me,Me-12033,14033,
Canterbury Seismic Instruments,CUSP-Me,Me-12034,14034,
Canterbury Seismic Instruments,CUSP-Me,Me-12035,14035,
Canterbury Seismic Instruments,CUSP-Me,Me-12036,14036,
Canterbury Seismic Instruments,CUSP-Me,Me-12037,14037,
Canterbury Seismic Instruments,CUSP-Me,Me-12038,14038,
Canterbury Seismic Instruments,CUSP-Me,Me-12039,14039,
Canterbury Seismic Instruments,CUSP-Me,Me-12040,14040,
Canterbury Seismic Instruments,CUSP-Me,Me-12041,14041,
Canterbury Seismic Instruments,CUSP-Me,Me-12042,14042,
Canterbury Seismic Instruments,CUSP-Me,Me-12043,14043,
